Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:57:13.661000,GAS,10,0 days 00:01:39.905000,34.0,2.0,,,0 days 00:00:27.109000,0 days 00:00:39.901000,0 days 00:00:32.895000,0 days 01:56:00.947000,0 days 01:56:40.848000,0 days 01:57:13.743000,218.0,181.0,203.0,303.0,True,HARD,16.0,True,Alpine,0 days 01:55:33.756000,2024-10-20 20:02:11.354,1,12.0,False,,False,True,99.905,C2,2024,100.244,28.8,33.0,1005.8,False,47.1,286.0,1.8,18.3,-0.33899999999999864,0.7490122054026687,0.4065696597405991,0.0602652274973017,0.970202952489017,0.0,0.6969789984668731
0 days 01:57:13.934000,GAS,10,0 days 00:01:40.264000,35.0,2.0,,,0 days 00:00:26.773000,0 days 00:00:39.974000,0 days 00:00:33.517000,0 days 01:56:00.494000,0 days 01:56:40.468000,0 days 01:57:13.985000,220.0,179.0,200.0,302.0,False,SOFT,10.0,False,Alpine,0 days 01:55:33.670000,2025-10-19 20:02:29.263,1,16.0,False,,False,True,100.264,C4,2025,99.759,28.6,21.0,1000.7,False,45.7,0.0,1.1,17.1,0.5049999999999955,0.9910403787728834,1.6918979226151304e-10,0.9960079893439897,0.8553453273074226,0.0,0.952181129698505
0 days 01:57:15.039000,ANT,12,0 days 00:01:39.610000,35.0,2.0,,,0 days 00:00:26.698000,0 days 00:00:39.800000,0 days 00:00:33.112000,0 days 01:56:02.163000,0 days 01:56:41.963000,0 days 01:57:15.075000,219.0,178.0,202.0,314.0,False,SOFT,7.0,False,Mercedes,0 days 01:55:35.429000,2025-10-19 20:02:31.022,1,17.0,False,,False,True,99.61,C4,2025,99.304,28.6,21.0,1000.7,False,45.7,0.0,1.1,17.1,0.3059999999999974,0.9910403787728834,1.6918979226151304e-10,0.9960079893439897,0.8553453273074226,0.0,0.952181129698505
0 days 01:57:16.337000,TSU,22,0 days 00:01:40.139000,34.0,2.0,,,0 days 00:00:26.879000,0 days 00:00:40.316000,0 days 00:00:32.944000,0 days 01:56:03.118000,0 days 01:56:43.434000,0 days 01:57:16.378000,208.0,176.0,203.0,304.0,True,HARD,16.0,True,Racing Bulls,0 days 01:55:36.198000,2024-10-20 20:02:13.796,1,13.0,False,,False,True,100.139,C2,2024,100.302,28.8,33.0,1005.8,False,47.1,286.0,1.8,18.3,-0.16300000000001091,0.7490122054026687,0.4065696597405991,0.0602652274973017,0.970202952489017,0.0,0.6969789984668731
0 days 01:57:19.936000,HAD,6,0 days 00:01:39.466000,35.0,2.0,,,0 days 00:00:26.570000,0 days 00:00:39.798000,0 days 00:00:33.098000,0 days 01:56:07.065000,0 days 01:56:46.863000,0 days 01:57:19.961000,227.0,176.0,201.0,310.0,False,SOFT,7.0,True,Racing Bulls,0 days 01:55:40.470000,2025-10-19 20:02:36.063,1,18.0,False,,False,True,99.466,C4,2025,98.853,28.6,21.0,1000.7,False,45.7,0.0,1.1,17.1,0.6129999999999995,0.9910403787728834,1.6918979226151304e-10,0.9960079893439897,0.8553453273074226,0.0,0.952181129698505
0 days 01:57:22.600000,ALO,14,0 days 00:01:40.285000,34.0,2.0,,,0 days 00:00:27.011000,0 days 00:00:39.986000,0 days 00:00:33.288000,0 days 01:56:09.368000,0 days 01:56:49.354000,0 days 01:57:22.642000,206.0,184.0,202.0,326.0,False,HARD,9.0,False,Aston Martin,0 days 01:55:42.315000,2024-10-20 20:02:19.913,1,14.0,False,,False,True,100.285,C2,2024,100.556,28.8,33.0,1005.8,False,47.1,286.0,1.8,18.3,-0.2710000000000008,0.7490122054026687,0.4065696597405991,0.0602652274973017,0.970202952489017,0.0,0.6969789984668731
0 days 01:57:25.527000,VER,1,0 days 00:01:41.576000,32.0,2.0,,,0 days 00:00:27.348000,0 days 00:00:40.954000,0 days 00:00:33.274000,0 days 01:56:11.335000,0 days 01:56:52.289000,0 days 01:57:25.563000,215.0,180.0,200.0,290.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:55:43.951000,2023-10-22 19:56:46.184,1,1.0,False,,False,True,101.576,C3,2023,101.337,30.4,37.0,993.0,False,41.0,124.0,4.1,10.600000000000001,0.2389999999999901,0.14427991674278828,0.9048374180359595,0.0036065631360157305,0.7362025458114003,0.0003035391380788668,0.03459659542089192
0 days 01:57:26.013000,COL,43,0 days 00:01:39.779000,35.0,2.0,,,0 days 00:00:26.882000,0 days 00:00:39.735000,0 days 00:00:33.162000,0 days 01:56:13.175000,0 days 01:56:52.910000,0 days 01:57:26.072000,217.0,173.0,201.0,309.0,False,SOFT,5.0,False,Alpine,0 days 01:55:46.234000,2025-10-19 20:02:41.827,1,19.0,False,,False,True,99.779,C4,2025,99.353,28.6,21.0,1000.7,False,45.7,0.0,1.1,17.1,0.42600000000000193,0.9910403787728834,1.6918979226151304e-10,0.9960079893439897,0.8553453273074226,0.0,0.952181129698505
0 days 01:57:27.288000,NOR,4,0 days 00:01:42.211000,32.0,2.0,,,0 days 00:00:27.423000,0 days 00:00:41.085000,0 days 00:00:33.703000,0 days 01:56:12.537000,0 days 01:56:53.622000,0 days 01:57:27.325000,212.0,185.0,200.0,294.0,False,HARD,15.0,True,McLaren,0 days 01:55:45.077000,2023-10-22 19:56:47.310,1,2.0,False,,False,True,102.211,C2,2023,101.56,30.4,37.0,993.0,False,41.0,124.0,4.1,10.600000000000001,0.6509999999999962,0.14427991674278828,0.9048374180359595,0.0036065631360157305,0.7362025458114003,0.0003035391380788668,0.03459659542089192
0 days 01:57:31.010000,VER,1,0 days 00:01:41.538000,28.0,2.0,,,0 days 00:00:27.519000,0 days 00:00:40.536000,0 days 00:00:33.483000,0 days 01:56:17.015000,0 days 01:56:57.551000,0 days 01:57:31.034000,203.0,179.0,200.0,307.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:55:49.472000,2022-10-23 19:56:49.483,1,1.0,False,,False,True,101.538,C2,2022,101.505,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,0.03300000000000125,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
