Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:11:53.225000,COL,43,0 days 00:01:26.607000,11.0,1.0,,,0 days 00:00:27.883000,0 days 00:00:29.614000,0 days 00:00:29.110000,0 days 01:10:54.519000,0 days 01:11:24.133000,0 days 01:11:53.243000,317.0,318.0,309.0,331.0,False,MEDIUM,11.0,True,Williams,0 days 01:10:26.618000,2024-09-01 13:18:10.537,1,15.0,False,,False,True,86.607,C4,2024,86.289,33.2,31.0,993.2,False,47.7,232.0,1.6,14.5,0.31799999999999784,0.18618769521930376,0.001661557273173934,0.3825101844718019,0.999000499833375,9.88775261368041e-74,0.9910403787728839
0 days 01:11:54.828000,BOT,77,0 days 00:01:26.470000,11.0,1.0,,,0 days 00:00:28.107000,0 days 00:00:29.584000,0 days 00:00:28.779000,0 days 01:10:56.465000,0 days 01:11:26.049000,0 days 01:11:54.828000,311.0,316.0,310.0,321.0,False,HARD,12.0,False,Kick Sauber,0 days 01:10:28.358000,2024-09-01 13:18:12.277,1,16.0,False,,False,True,86.47,C3,2024,86.118,33.2,31.0,993.2,False,47.7,232.0,1.6,14.5,0.35200000000000387,0.18618769521930376,0.001661557273173934,0.3825101844718019,0.999000499833375,9.88775261368041e-74,0.9910403787728839
0 days 01:11:56.349000,ZHO,24,0 days 00:01:26.488000,11.0,1.0,,,0 days 00:00:28.011000,0 days 00:00:29.651000,0 days 00:00:28.826000,0 days 01:10:57.887000,0 days 01:11:27.538000,0 days 01:11:56.364000,313.0,318.0,311.0,321.0,False,MEDIUM,12.0,False,Kick Sauber,0 days 01:10:29.861000,2024-09-01 13:18:13.780,1,17.0,False,,False,True,86.488,C4,2024,86.128,33.2,31.0,993.2,False,47.7,232.0,1.6,14.5,0.35999999999999943,0.18618769521930376,0.001661557273173934,0.3825101844718019,0.999000499833375,9.88775261368041e-74,0.9910403787728839
0 days 01:11:56.417000,PIA,81,0 days 00:01:23.461000,10.0,1.0,,,0 days 00:00:27.430000,0 days 00:00:28.274000,0 days 00:00:27.757000,0 days 01:11:00.443000,0 days 01:11:28.717000,0 days 01:11:56.474000,311.0,313.0,311.0,323.0,True,MEDIUM,10.0,True,McLaren,0 days 01:10:32.956000,2025-09-07 13:16:17.869,1,3.0,False,,False,True,83.461,C4,2025,83.685,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.22400000000000375,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:11:58.566000,LEC,16,0 days 00:01:24.140000,10.0,1.0,,,0 days 00:00:27.535000,0 days 00:00:28.793000,0 days 00:00:27.812000,0 days 01:11:02.007000,0 days 01:11:30.800000,0 days 01:11:58.612000,314.0,315.0,313.0,342.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:10:34.426000,2025-09-07 13:16:19.339,1,4.0,False,,False,True,84.14,C4,2025,84.052,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.08799999999999386,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:11:59.223000,RUS,63,0 days 00:01:24.347000,10.0,1.0,,,0 days 00:00:27.309000,0 days 00:00:29.084000,0 days 00:00:27.954000,0 days 01:11:02.229000,0 days 01:11:31.313000,0 days 01:11:59.267000,322.0,326.0,311.0,340.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:10:34.876000,2025-09-07 13:16:19.789,1,5.0,False,,False,True,84.347,C4,2025,84.068,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.27899999999999636,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:00.872000,HAM,44,0 days 00:01:23.824000,10.0,1.0,,,0 days 00:00:27.292000,0 days 00:00:28.601000,0 days 00:00:27.931000,0 days 01:11:04.417000,0 days 01:11:33.018000,0 days 01:12:00.949000,318.0,322.0,314.0,323.0,True,MEDIUM,10.0,True,Ferrari,0 days 01:10:37.048000,2025-09-07 13:16:21.961,1,6.0,False,,False,True,83.824,C4,2025,83.894,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.07000000000000739,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:02.831000,BOR,5,0 days 00:01:24.517000,10.0,1.0,,,0 days 00:00:27.729000,0 days 00:00:28.736000,0 days 00:00:28.052000,0 days 01:11:06.072000,0 days 01:11:34.808000,0 days 01:12:02.860000,315.0,321.0,314.0,323.0,False,MEDIUM,10.0,True,Kick Sauber,0 days 01:10:38.314000,2025-09-07 13:16:23.227,1,7.0,False,,False,True,84.517,C4,2025,84.431,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.08599999999999852,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:03.610000,ALO,14,0 days 00:01:24.506000,10.0,1.0,,,0 days 00:00:27.472000,0 days 00:00:28.902000,0 days 00:00:28.132000,0 days 01:11:06.637000,0 days 01:11:35.539000,0 days 01:12:03.671000,318.0,327.0,311.0,337.0,False,MEDIUM,11.0,False,Aston Martin,0 days 01:10:39.104000,2025-09-07 13:16:24.017,1,8.0,False,,False,True,84.506,C4,2025,84.485,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.021000000000000796,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:04.715000,TSU,22,0 days 00:01:24.449000,10.0,1.0,,,0 days 00:00:27.599000,0 days 00:00:28.911000,0 days 00:00:27.939000,0 days 01:11:07.921000,0 days 01:11:36.832000,0 days 01:12:04.771000,315.0,321.0,313.0,326.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:40.266000,2025-09-07 13:16:25.179,1,9.0,False,,False,True,84.449,C4,2025,84.53,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.08100000000000307,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
