Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
   5%    34         36-37        38-38          89         61  0.4221  0.3455    0.8630
   5%    27         29-30        31-31         118         56  0.4251  0.3264    0.9098
   5%    24         26-27        28-28         129         58  0.4325  0.3572    0.8750
   5%    50         52-53        54-54         129         63  0.4331  0.3582    0.8470
   5%    45         47-48        49-49          96         51  0.4333  0.3447    0.8364
  10%    44         46-49        50-51         195        104  0.4373  0.2428    0.8421
  10%    12         14-17        18-19         174        118  0.4380  0.3476    0.7904
  10%    14         16-19        20-21         213        140  0.4412  0.3433    0.8138
  20%    41         43-50        51-53         415        182  0.4428  0.3142    0.8489
  20%    45         47-54        55-57         443        177  0.4480  0.2858    0.8687
  15%    43         45-50        51-52         295        118  0.4617  0.3292    0.8397
   5%    32         34-35        36-36          75         42  0.4629  0.3601    0.8764
  15%    47         49-54        55-56         347        135  0.4642  0.2833    0.8530
  15%    31         33-38        39-40         262        127  0.4657  0.3399    0.8674
  10%    33         35-38        39-40         189        127  0.4661  0.3460    0.8672
   5%    19         21-22        23-23         143         75  0.4757  0.2759    0.8383
  12%     9         11-15        16-17         229         95  0.4767  0.3837    0.8986
  12%    32         34-38        39-40         225        127  0.4792  0.3486    0.8596
  10%    10         12-15        16-17         175         95  0.4942  0.4051    0.8911
  12%    48         50-54        55-56         296        135  0.5095  0.2808    0.8230
   5%    30         32-33        34-34          74         36  0.5330  0.4412    0.8447
   5%    35         37-38        39-39         108         68  0.5335  0.3884    0.8259
   5%    33         35-36        37-37          81         47  0.5446  0.4002    0.8049
   5%    14         16-17        18-18          95         55  0.5587  0.4211    0.6525
  10%     2           4-7          8-9         281        138  0.5727  0.3693    0.7885
   5%    11         13-14        15-15          85         40  0.5783  0.4802    0.8563
  10%     3           5-8         9-10         278        126  0.5846  0.4039    0.8180
  12%     2           4-8         9-10         352        126  0.6289  0.4204    0.7894
   5%    48         50-51        52-52         104         65  0.6614  0.5196    0.6877
   5%    26         28-29        30-30         118         58  0.8240  0.6154    0.6561
   5%    15         17-18        19-19         104         63  0.8292  0.6239    0.2613
   5%    13         15-16        17-17          86         49  0.8594  0.6262    0.6741
   5%     9         11-12        13-13         104         46  0.8609  0.6084    0.6916
  10%    45         47-50        51-52         198        118  0.9140  0.5061    0.3717
   5%    10         12-13        14-14          96         39  0.9276  0.6675    0.6267
   5%    38         40-41        42-42         112         57  0.9812  0.5181    0.3825
   5%     1           3-4          5-5         146         67  1.0030  0.7827    0.2538
   5%     6           8-9        10-10         138         59  1.0079  0.6324    0.5166
   5%     7          9-10        11-11         126         54  1.2634  1.0152    0.2275
  12%    44         46-50        51-52         246        118  1.3068  0.6590   -0.2844
   5%    47         49-50        51-51         102         53  1.3791  0.5002   -0.5453
   5%     8         10-11        12-12         113         50  1.4851  0.9854    0.0909
   5%    43         45-46        47-47          97         48  2.2704  1.5082   -2.7646
   5%    12         14-15        16-16          79         46  2.2883  1.5336   -1.3626
   5%    16         18-19        20-20         118         70  5.3173  2.7105  -28.1914
  10%    49         51-54        55-56         245        135  5.9832  3.2192  -23.4111
   5%     2           4-5          6-6         141         69 11.8020  6.3178  -85.3494
   5%    51         53-54        55-55         127         67 13.9176  7.0796 -141.5921
   5%     5           7-8          9-9         142         67 23.8638 14.1819 -337.9784
Arquivos .txt salvos em: c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\lr_wf_fold_results\bahrain_grand_prix\wf_geral

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) | APENAS 2025 ---
Ano avaliado: 2025 | Voltas consideradas: 55 (3-57) | Treino: todos os anos (exceto a janela de teste de 2025 em cada fold)
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.3097 [0.2829, 0.3365]     0.2550 [0.2293, 0.2808]    0.7487 [0.6765, 0.8209]
  10%     6     47      0.3161 [0.2912, 0.3409]     0.2581 [0.2336, 0.2826]    0.7633 [0.6922, 0.8344]
  12%     7     46      0.3174 [0.2921, 0.3427]     0.2589 [0.2339, 0.2839]    0.7639 [0.6913, 0.8365]
  15%     8     45      0.3168  [0.291, 0.3427]     0.2582 [0.2327, 0.2837]    0.7689 [0.6953, 0.8425]
  20%    11     43      0.3230 [0.2973, 0.3488]     0.2627 [0.2368, 0.2885]    0.7715 [0.6957, 0.8472]
  25%    14     40      0.3249 [0.2973, 0.3525]     0.2648 [0.2371, 0.2925]    0.7631 [0.6822, 0.8441]
  30%    16     39      0.3307  [0.303, 0.3585]     0.2697 [0.2417, 0.2977]    0.7627 [0.6808, 0.8446]
  35%    19     36      0.3256  [0.2961, 0.355]     0.2660  [0.2359, 0.296]    0.7761  [0.689, 0.8632]
  40%    22     34      0.3298  [0.299, 0.3606]     0.2699 [0.2384, 0.3015]    0.7830 [0.6913, 0.8748]
  60%    33     23      0.3234 [0.2891, 0.3576]     0.2636 [0.2293, 0.2978]    0.8332 [0.8103, 0.8561]

--- TODOS OS FOLDS (WF 2025) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Teste_2025  Train_Regs_Total  Train_Regs_2022_2024  Train_Regs_2025_Passado  Test_Regs_2025   RMSE    MAE      R2
   5%    39             47-47              2974                  2381                      593              16 0.1632 0.1323  0.9398
   5%    40             48-48              2990                  2381                      609              18 0.1658 0.1225  0.9258
  12%    37             47-48              2974                  2381                      593              34 0.1663 0.1281  0.9316
  10%    38             47-48              2974                  2381                      593              34 0.1663 0.1281  0.9316
  15%    36             47-48              2974                  2381                      593              34 0.1663 0.1281  0.9316
   5%    46             54-54              3091                  2381                      710              18 0.1923 0.1567  0.9148
   5%    36             44-44              2927                  2381                      546              15 0.1943 0.1569  0.8950
   5%    34             42-42              2891                  2381                      510              18 0.1978 0.1709  0.9368
   5%    11             15-15              2563                  2381                      182              11 0.2038 0.1805  0.9441
  15%    42             53-54              3074                  2381                      693              35 0.2053 0.1682  0.9022
  10%    44             53-54              3074                  2381                      693              35 0.2053 0.1682  0.9022
  12%    43             53-54              3074                  2381                      693              35 0.2053 0.1682  0.9022
  20%    35             47-49              2974                  2381                      593              51 0.2061 0.1494  0.8751
  25%    32             47-49              2974                  2381                      593              51 0.2061 0.1494  0.8751
   5%     3               7-7              2452                  2381                       71              18 0.2071 0.1726  0.7836
  12%    44             54-55              3091                  2381                      710              36 0.2141 0.1644  0.8969
  15%    43             54-55              3091                  2381                      710              36 0.2141 0.1644  0.8969
  10%    45             54-55              3091                  2381                      710              36 0.2141 0.1644  0.8969
   5%    45             53-53              3074                  2381                      693              17 0.2143 0.1767  0.8917
  20%    41             53-55              3074                  2381                      693              53 0.2152 0.1707  0.8949
  25%    38             53-55              3074                  2381                      693              53 0.2152 0.1707  0.8949
  15%    33             44-45              2927                  2381                      546              30 0.2180 0.1646  0.8683
  10%    35             44-45              2927                  2381                      546              30 0.2180 0.1646  0.8683
  12%    34             44-45              2927                  2381                      546              30 0.2180 0.1646  0.8683
  35%    29             47-50              2974                  2381                      593              67 0.2185 0.1545  0.8574
  30%    32             47-50              2974                  2381                      593              67 0.2185 0.1545  0.8574
  12%    38             48-49              2990                  2381                      609              35 0.2222 0.1568  0.8301
  10%    39             48-49              2990                  2381                      609              35 0.2222 0.1568  0.8301
  15%    37             48-49              2990                  2381                      609              35 0.2222 0.1568  0.8301
  40%    25             44-48              2927                  2381                      546              81 0.2262 0.1693  0.8818
  20%    34             46-48              2957                  2381                      576              51 0.2321 0.1732  0.8803
  25%    31             46-48              2957                  2381                      576              51 0.2321 0.1732  0.8803
  25%    33             48-50              2990                  2381                      609              51 0.2329 0.1615  0.8182
  20%    36             48-50              2990                  2381                      609              51 0.2329 0.1615  0.8182
  60%    14             42-48              2891                  2381                      510             117 0.2336 0.1817  0.9015
  30%    30             45-48              2942                  2381                      561              66 0.2340 0.1729  0.8761
  35%    27             45-48              2942                  2381                      561              66 0.2340 0.1729  0.8761
  25%    27             42-44              2891                  2381                      510              51 0.2348 0.1945  0.9211
  20%    30             42-44              2891                  2381                      510              51 0.2348 0.1945  0.9211
  40%    28             47-51              2974                  2381                      593              84 0.2350 0.1699  0.8414
   5%    47             55-55              3109                  2381                      728              18 0.2358 0.1706  0.8778
  35%    24             42-45              2891                  2381                      510              66 0.2360 0.1899  0.9111
  30%    27             42-45              2891                  2381                      510              66 0.2360 0.1899  0.9111
  60%    16             44-50              2927                  2381                      546             114 0.2372 0.1734  0.8572
  12%     8             15-16              2563                  2381                      182              22 0.2386 0.1978  0.8924
  15%     7             15-16              2563                  2381                      182              22 0.2386 0.1978  0.8924
  10%     9             15-16              2563                  2381                      182              22 0.2386 0.1978  0.8924
   5%     6             10-10              2501                  2381                      120              11 0.2396 0.2196  0.8717
  30%    37             52-55              3058                  2381                      677              69 0.2404 0.1914  0.8679
  35%    34             52-55              3058                  2381                      677              69 0.2404 0.1914  0.8679
  40%    26             45-49              2942                  2381                      561              83 0.2410 0.1770  0.8548
  35%    26             44-47              2927                  2381                      546              63 0.2414 0.1843  0.8698
  30%    29             44-47              2927                  2381                      546              63 0.2414 0.1843  0.8698
  25%    37             52-54              3058                  2381                      677              51 0.2414 0.1952  0.8639
  20%    40             52-54              3058                  2381                      677              51 0.2414 0.1952  0.8639
   5%    37             45-45              2942                  2381                      561              15 0.2416 0.1737  0.8388
  30%    31             46-49              2957                  2381                      576              68 0.2416 0.1784  0.8509
  35%    28             46-49              2957                  2381                      576              68 0.2416 0.1784  0.8509
  60%    15             43-49              2909                  2381                      528             116 0.2436 0.1855  0.8811
  10%     4             10-11              2501                  2381                      120              25 0.2439 0.2091  0.8600
  15%     2             10-11              2501                  2381                      120              25 0.2439 0.2091  0.8600
  12%     3             10-11              2501                  2381                      120              25 0.2439 0.2091  0.8600
  40%    27             46-50              2957                  2381                      576              84 0.2445 0.1773  0.8418
  60%    19             47-53              2974                  2381                      593             117 0.2456 0.1841  0.8502
   5%     7             11-11              2512                  2381                      131              14 0.2476 0.1990  0.8473
  30%    33             48-51              2990                  2381                      609              68 0.2488 0.1786  0.8076
  35%    30             48-51              2990                  2381                      609              68 0.2488 0.1786  0.8076
  20%    31             43-45              2909                  2381                      528              48 0.2493 0.1983  0.9012
  25%    28             43-45              2909                  2381                      528              48 0.2493 0.1983  0.9012
  60%    20             48-54              2990                  2381                      609             119 0.2498 0.1890  0.8481
  60%    17             45-51              2942                  2381                      561             116 0.2501 0.1835  0.8414
  12%    32             42-43              2891                  2381                      510              36 0.2502 0.2097  0.9239
  15%    31             42-43              2891                  2381                      510              36 0.2502 0.2097  0.9239
  10%    33             42-43              2891                  2381                      510              36 0.2502 0.2097  0.9239
   5%     2               6-6              2437                  2381                       56              15 0.2509 0.2105  0.6728
   5%    19             23-23              2674                  2381                      293              17 0.2518 0.1703  0.7773
  10%    34             43-44              2909                  2381                      528              33 0.2532 0.2081  0.9136
  12%    33             43-44              2909                  2381                      528              33 0.2532 0.2081  0.9136
  15%    32             43-44              2909                  2381                      528              33 0.2532 0.2081  0.9136
  40%    24             43-47              2909                  2381                      528              81 0.2535 0.1992  0.8891
  30%    38             53-56              3074                  2381                      693              71 0.2544 0.1998  0.8652
  35%    35             53-56              3074                  2381                      693              71 0.2544 0.1998  0.8652
  40%    32             51-55              3041                  2381                      660              86 0.2549 0.2030  0.8525
  10%     1               7-8              2452                  2381                       71              35 0.2555 0.2231  0.7371
  25%    30             45-47              2942                  2381                      561              48 0.2556 0.1943  0.8601
  20%    33             45-47              2942                  2381                      561              48 0.2556 0.1943  0.8601
  40%    22             41-45              2872                  2381                      491              85 0.2556 0.2080  0.8994
  60%    13             41-47              2872                  2381                      491             118 0.2559 0.2043  0.8924
  10%     5             11-12              2512                  2381                      131              28 0.2562 0.2014  0.8847
  12%     4             11-12              2512                  2381                      131              28 0.2562 0.2014  0.8847
  15%     3             11-12              2512                  2381                      131              28 0.2562 0.2014  0.8847
  40%    31             50-54              3025                  2381                      644              84 0.2567 0.1991  0.8462
  12%    31             41-42              2872                  2381                      491              37 0.2577 0.2150  0.9013
  10%    32             41-42              2872                  2381                      491              37 0.2577 0.2150  0.9013
  15%    30             41-42              2872                  2381                      491              37 0.2577 0.2150  0.9013
  60%    21             49-55              3008                  2381                      627             119 0.2579 0.1983  0.8396
  40%    23             42-46              2891                  2381                      510              83 0.2584 0.2064  0.8910
  30%    36             51-54              3041                  2381                      660              68 0.2585 0.2074  0.8445
  35%    33             51-54              3041                  2381                      660              68 0.2585 0.2074  0.8445
  30%    26             41-44              2872                  2381                      491              70 0.2587 0.2145  0.9051
  35%    23             41-44              2872                  2381                      491              70 0.2587 0.2145  0.9051
  60%    18             46-52              2957                  2381                      576             117 0.2608 0.1953  0.8328
  12%    42             52-53              3058                  2381                      677              33 0.2610 0.2120  0.8381
  10%    43             52-53              3058                  2381                      677              33 0.2610 0.2120  0.8381
  15%    41             52-53              3058                  2381                      677              33 0.2610 0.2120  0.8381
   5%    42             50-50              3025                  2381                      644              16 0.2611 0.1755  0.7834
  40%    21             40-44              2854                  2381                      473              88 0.2611 0.2157  0.9023
  40%    29             48-52              2990                  2381                      609              84 0.2614 0.1933  0.8099
  10%    40             49-50              3008                  2381                      627              33 0.2621 0.1830  0.7245
  12%    39             49-50              3008                  2381                      627              33 0.2621 0.1830  0.7245
  15%    38             49-50              3008                  2381                      627              33 0.2621 0.1830  0.7245
  12%    36             46-47              2957                  2381                      576              33 0.2624 0.2033  0.8606
  10%    37             46-47              2957                  2381                      576              33 0.2624 0.2033  0.8606
  15%    35             46-47              2957                  2381                      576              33 0.2624 0.2033  0.8606
  20%    28             40-42              2854                  2381                      473              55 0.2628 0.2184  0.8971
  25%    25             40-42              2854                  2381                      473              55 0.2628 0.2184  0.8971
  25%    39             54-56              3091                  2381                      710              54 0.2632 0.2029  0.8590
  20%    42             54-56              3091                  2381                      710              54 0.2632 0.2029  0.8590
  20%    32             44-46              2927                  2381                      546              47 0.2643 0.2036  0.8420
  25%    29             44-46              2927                  2381                      546              47 0.2643 0.2036  0.8420
   5%    23             27-27              2743                  2381                      362              16 0.2653 0.2149  0.8848
   5%    12             16-16              2574                  2381                      193              11 0.2655 0.2076  0.7627
   5%     8             12-12              2526                  2381                      145              14 0.2660 0.2091  0.9006
  40%    33             52-56              3058                  2381                      677              87 0.2660 0.2115  0.8502
   5%    41             49-49              3008                  2381                      627              17 0.2670 0.1929  0.6158
  35%    32             50-53              3025                  2381                      644              66 0.2687 0.2076  0.8244
  30%    35             50-53              3025                  2381                      644              66 0.2687 0.2076  0.8244
  60%    12             40-46              2854                  2381                      473             120 0.2695 0.2180  0.8862
  60%    22             50-56              3025                  2381                      644             120 0.2700 0.2109  0.8471
  40%    30             49-53              3008                  2381                      627              83 0.2702 0.2060  0.8025
   5%    32             40-40              2854                  2381                      473              18 0.2715 0.2243  0.8885
  20%    37             49-51              3008                  2381                      627              50 0.2717 0.1984  0.7482
  25%    34             49-51              3008                  2381                      627              50 0.2717 0.1984  0.7482
  35%    25             43-46              2909                  2381                      528              65 0.2724 0.2170  0.8784
  30%    28             43-46              2909                  2381                      528              65 0.2724 0.2170  0.8784
  30%    25             40-43              2854                  2381                      473              73 0.2725 0.2267  0.9023
  35%    22             40-43              2854                  2381                      473              73 0.2725 0.2267  0.9023
  25%    26             41-43              2872                  2381                      491              55 0.2729 0.2278  0.9056
  20%    29             41-43              2872                  2381                      491              55 0.2729 0.2278  0.9056
  12%    40             50-51              3025                  2381                      644              33 0.2736 0.2016  0.7852
  10%    41             50-51              3025                  2381                      644              33 0.2736 0.2016  0.7852
  15%    39             50-51              3025                  2381                      644              33 0.2736 0.2016  0.7852
  20%    39             51-53              3041                  2381                      660              50 0.2739 0.2202  0.8206
  25%    36             51-53              3041                  2381                      660              50 0.2739 0.2202  0.8206
  10%    21             27-28              2743                  2381                      362              28 0.2750 0.2135  0.8828
  12%    20             27-28              2743                  2381                      362              28 0.2750 0.2135  0.8828
  15%    19             27-28              2743                  2381                      362              28 0.2750 0.2135  0.8828
  20%     4             14-16              2554                  2381                      173              31 0.2793 0.2137  0.8772
  25%     1             14-16              2554                  2381                      173              31 0.2793 0.2137  0.8772
   5%    15             19-19              2609                  2381                      228              14 0.2806 0.2359  0.7138
  30%    34             49-52              3008                  2381                      627              66 0.2810 0.2121  0.7677
  35%    31             49-52              3008                  2381                      627              66 0.2810 0.2121  0.7677
  25%    35             50-52              3025                  2381                      644              49 0.2845 0.2181  0.7927
  20%    38             50-52              3025                  2381                      644              49 0.2845 0.2181  0.7927
  10%     8             14-15              2554                  2381                      173              20 0.2849 0.2139  0.9002
  12%     7             14-15              2554                  2381                      173              20 0.2849 0.2139  0.9002
  15%     6             14-15              2554                  2381                      173              20 0.2849 0.2139  0.9002
   5%    17             21-21              2640                  2381                      259              17 0.2860 0.2437  0.7664
  25%    13             26-28              2727                  2381                      346              44 0.2867 0.2289  0.8759
  20%    16             26-28              2727                  2381                      346              44 0.2867 0.2289  0.8759
  20%     1             11-13              2512                  2381                      131              42 0.2868 0.2298  0.8775
   5%    43             51-51              3041                  2381                      660              17 0.2874 0.2282  0.7767
  10%    20             26-27              2727                  2381                      346              32 0.2874 0.2350  0.8729
  12%    19             26-27              2727                  2381                      346              32 0.2874 0.2350  0.8729
  15%    18             26-27              2727                  2381                      346              32 0.2874 0.2350  0.8729
  25%     8             21-23              2640                  2381                      259              51 0.2877 0.2283  0.7578
  20%    11             21-23              2640                  2381                      259              51 0.2877 0.2283  0.7578
  12%    15             22-23              2657                  2381                      276              34 0.2888 0.2207  0.7516
  15%    14             22-23              2657                  2381                      276              34 0.2888 0.2207  0.7516
  10%    16             22-23              2657                  2381                      276              34 0.2888 0.2207  0.7516
  10%    31             40-41              2854                  2381                      473              37 0.2889 0.2395  0.8801
  15%    29             40-41              2854                  2381                      473              37 0.2889 0.2395  0.8801
  12%    30             40-41              2854                  2381                      473              37 0.2889 0.2395  0.8801
  15%    44             55-56              3109                  2381                      728              36 0.2909 0.2226  0.8360
  10%    46             55-56              3109                  2381                      728              36 0.2909 0.2226  0.8360
  12%    45             55-56              3109                  2381                      728              36 0.2909 0.2226  0.8360
  12%    16             23-24              2674                  2381                      293              36 0.2914 0.2233  0.7263
  15%    15             23-24              2674                  2381                      293              36 0.2914 0.2233  0.7263
  10%    17             23-24              2674                  2381                      293              36 0.2914 0.2233  0.7263
   5%    24             28-28              2759                  2381                      378              12 0.2916 0.2150  0.8763
  60%    11             39-45              2837                  2381                      456             120 0.2916 0.2387  0.8710
   5%     4               8-8              2470                  2381                       89              17 0.2925 0.2735  0.6340
  15%    34             45-46              2942                  2381                      561              32 0.2928 0.2273  0.8192
  12%    35             45-46              2942                  2381                      561              32 0.2928 0.2273  0.8192
  10%    36             45-46              2942                  2381                      561              32 0.2928 0.2273  0.8192
  20%     3             13-15              2540                  2381                      159              34 0.2933 0.2282  0.8913
   5%    35             43-43              2909                  2381                      528              18 0.2939 0.2491  0.9151
  40%    34             53-57              3074                  2381                      693              87 0.2964 0.2346  0.8320
  12%    41             51-52              3041                  2381                      660              33 0.2972 0.2400  0.7823
  10%    42             51-52              3041                  2381                      660              33 0.2972 0.2400  0.7823
  15%    40             51-52              3041                  2381                      660              33 0.2972 0.2400  0.7823
  30%     6             20-23              2623                  2381                      242              68 0.2973 0.2325  0.7574
  35%     3             20-23              2623                  2381                      242              68 0.2973 0.2325  0.7574
  35%     4             21-24              2640                  2381                      259              70 0.2981 0.2401  0.7401
  30%     7             21-24              2640                  2381                      259              70 0.2981 0.2401  0.7401
  25%     6             19-21              2609                  2381                      228              48 0.3002 0.2435  0.7483
  20%     9             19-21              2609                  2381                      228              48 0.3002 0.2435  0.7483
  15%     4             12-13              2526                  2381                      145              28 0.3009 0.2433  0.8806
  12%     5             12-13              2526                  2381                      145              28 0.3009 0.2433  0.8806
  10%     6             12-13              2526                  2381                      145              28 0.3009 0.2433  0.8806
  25%     9             22-24              2657                  2381                      276              53 0.3012 0.2384  0.7326
  20%    12             22-24              2657                  2381                      276              53 0.3012 0.2384  0.7326
  40%     1             20-24              2623                  2381                      242              87 0.3031 0.2407  0.7464
   5%    44             52-52              3058                  2381                      677              16 0.3033 0.2499  0.7790
  12%    14             21-22              2640                  2381                      259              34 0.3034 0.2549  0.7509
  10%    15             21-22              2640                  2381                      259              34 0.3034 0.2549  0.7509
  15%    13             21-22              2640                  2381                      259              34 0.3034 0.2549  0.7509
  60%    23             51-57              3041                  2381                      660             120 0.3036 0.2433  0.8213
   5%    33             41-41              2872                  2381                      491              19 0.3044 0.2545  0.8718
  25%     2             15-17              2563                  2381                      182              33 0.3054 0.2434  0.8126
  20%     5             15-17              2563                  2381                      182              33 0.3054 0.2434  0.8126
  40%     4             23-27              2674                  2381                      293              85 0.3057 0.2409  0.8041
  15%    12             20-21              2623                  2381                      242              34 0.3060 0.2455  0.7610
  10%    14             20-21              2623                  2381                      242              34 0.3060 0.2455  0.7610
  12%    13             20-21              2623                  2381                      242              34 0.3060 0.2455  0.7610
   5%    22             26-26              2727                  2381                      346              16 0.3066 0.2539  0.8634
  30%    11             25-28              2710                  2381                      329              61 0.3083 0.2431  0.8399
  35%     8             25-28              2710                  2381                      329              61 0.3083 0.2431  0.8399
  30%     5             19-22              2609                  2381                      228              65 0.3094 0.2525  0.7370
  35%     2             19-22              2609                  2381                      228              65 0.3094 0.2525  0.7370
  40%    20             39-43              2837                  2381                      456              90 0.3099 0.2591  0.8718
  30%    24             39-42              2837                  2381                      456              72 0.3104 0.2615  0.8578
  35%    21             39-42              2837                  2381                      456              72 0.3104 0.2615  0.8578
  12%    12             19-20              2609                  2381                      228              31 0.3105 0.2491  0.7267
  15%    11             19-20              2609                  2381                      228              31 0.3105 0.2491  0.7267
  10%    13             19-20              2609                  2381                      228              31 0.3105 0.2491  0.7267
  35%    36             54-57              3091                  2381                      710              70 0.3106 0.2450  0.8200
  30%    39             54-57              3091                  2381                      710              70 0.3106 0.2450  0.8200
  20%    10             20-22              2623                  2381                      242              51 0.3111 0.2533  0.7508
  25%     7             20-22              2623                  2381                      242              51 0.3111 0.2533  0.7508
  40%     2             21-25              2640                  2381                      259              87 0.3112 0.2496  0.7449
  25%    12             25-27              2710                  2381                      329              49 0.3123 0.2506  0.8279
  20%    15             25-27              2710                  2381                      329              49 0.3123 0.2506  0.8279
  20%     2             12-14              2526                  2381                      145              37 0.3128 0.2448  0.8777
   5%     9             13-13              2540                  2381                      159              14 0.3129 0.2535  0.8711
  40%     5             24-28              2691                  2381                      310              80 0.3133 0.2506  0.8174
  35%     6             23-26              2674                  2381                      293              69 0.3140 0.2459  0.7785
  30%     9             23-26              2674                  2381                      293              69 0.3140 0.2459  0.7785
  25%    10             23-25              2674                  2381                      293              53 0.3157 0.2443  0.7285
  20%    13             23-25              2674                  2381                      293              53 0.3157 0.2443  0.7285
  40%     3             22-26              2657                  2381                      276              86 0.3157 0.2511  0.7779
  30%     8             22-25              2657                  2381                      276              70 0.3168 0.2508  0.7395
  35%     5             22-25              2657                  2381                      276              70 0.3168 0.2508  0.7395
  35%     7             24-27              2691                  2381                      310              68 0.3178 0.2584  0.8019
  30%    10             24-27              2691                  2381                      310              68 0.3178 0.2584  0.8019
   5%    18             22-22              2657                  2381                      276              17 0.3210 0.2676  0.7293
   5%    20             24-24              2691                  2381                      310              19 0.3248 0.2722  0.6774
   5%    26             30-30              2782                  2381                      401              14 0.3254 0.2584  0.9193
  10%     7             13-14              2540                  2381                      159              23 0.3268 0.2506  0.8686
  12%     6             13-14              2540                  2381                      159              23 0.3268 0.2506  0.8686
  15%     5             13-14              2540                  2381                      159              23 0.3268 0.2506  0.8686
  35%     9             26-29              2727                  2381                      346              55 0.3284 0.2627  0.8418
  30%    12             26-29              2727                  2381                      346              55 0.3284 0.2627  0.8418
  40%     7             26-30              2727                  2381                      346              69 0.3289 0.2629  0.8758
   5%    16             20-20              2623                  2381                      242              17 0.3311 0.2566  0.7315
  25%    11             24-26              2691                  2381                      310              52 0.3315 0.2702  0.7705
  20%    14             24-26              2691                  2381                      310              52 0.3315 0.2702  0.7705
   5%    38             46-46              2957                  2381                      576              17 0.3325 0.2742  0.7961
  10%    19             25-26              2710                  2381                      329              33 0.3337 0.2678  0.7947
  15%    17             25-26              2710                  2381                      329              33 0.3337 0.2678  0.7947
  12%    18             25-26              2710                  2381                      329              33 0.3337 0.2678  0.7947
  40%     6             25-29              2710                  2381                      329              72 0.3339 0.2656  0.8216
  30%    13             27-30              2743                  2381                      362              53 0.3342 0.2642  0.8759
  35%    10             27-30              2743                  2381                      362              53 0.3342 0.2642  0.8759
  25%    14             27-29              2743                  2381                      362              39 0.3362 0.2650  0.8311
  20%    17             27-29              2743                  2381                      362              39 0.3362 0.2650  0.8311
  60%    10             38-44              2821                  2381                      440             121 0.3368 0.2785  0.8339
   5%    48             56-56              3127                  2381                      746              18 0.3380 0.2749  0.7977
  20%    43             55-57              3109                  2381                      728              52 0.3400 0.2726  0.7939
  25%    40             55-57              3109                  2381                      728              52 0.3400 0.2726  0.7939
  20%    27             39-41              2837                  2381                      456              54 0.3402 0.2899  0.8341
  25%    24             39-41              2837                  2381                      456              54 0.3402 0.2899  0.8341
  12%     1               8-9              2470                  2381                       89              31 0.3412 0.2902  0.5384
  10%     2               8-9              2470                  2381                       89              31 0.3412 0.2902  0.5384
  10%    10             16-17              2574                  2381                      193              22 0.3421 0.2685  0.6709
  15%     8             16-17              2574                  2381                      193              22 0.3421 0.2685  0.6709
  12%     9             16-17              2574                  2381                      193              22 0.3421 0.2685  0.6709
  12%    17             24-25              2691                  2381                      310              36 0.3422 0.2789  0.6956
  15%    16             24-25              2691                  2381                      310              36 0.3422 0.2789  0.6956
  10%    18             24-25              2691                  2381                      310              36 0.3422 0.2789  0.6956
   5%    29             37-37              2814                  2381                      433               7 0.3423 0.2929  0.8866
  12%     2              9-10              2487                  2381                      106              25 0.3442 0.2691  0.6604
  10%     3              9-10              2487                  2381                      106              25 0.3442 0.2691  0.6604
  15%     1              9-10              2487                  2381                      106              25 0.3442 0.2691  0.6604
  40%     8             27-31              2743                  2381                      362              68 0.3460 0.2771  0.8732
  60%     9             37-43              2814                  2381                      433             113 0.3484 0.2905  0.8425
  30%     4             18-21              2596                  2381                      215              61 0.3535 0.2807  0.6369
  35%     1             18-21              2596                  2381                      215              61 0.3535 0.2807  0.6369
  12%    29             39-40              2837                  2381                      456              35 0.3541 0.3065  0.8159
  10%    30             39-40              2837                  2381                      456              35 0.3541 0.3065  0.8159
  15%    28             39-40              2837                  2381                      456              35 0.3541 0.3065  0.8159
  35%    13             30-33              2782                  2381                      401              29 0.3595 0.2916  0.8930
  40%    11             30-34              2782                  2381                      401              29 0.3595 0.2916  0.8930
  25%    17             30-32              2782                  2381                      401              29 0.3595 0.2916  0.8930
  20%    20             30-32              2782                  2381                      401              29 0.3595 0.2916  0.8930
  30%    16             30-33              2782                  2381                      401              29 0.3595 0.2916  0.8930
  10%    24             30-31              2782                  2381                      401              29 0.3595 0.2916  0.8930
  15%    22             30-31              2782                  2381                      401              29 0.3595 0.2916  0.8930
  12%    23             30-31              2782                  2381                      401              29 0.3595 0.2916  0.8930
   5%    10             14-14              2554                  2381                      173               9 0.3601 0.2572  0.8550
  40%    19             38-42              2821                  2381                      440              88 0.3603 0.3013  0.8035
   5%    21             25-25              2710                  2381                      329              17 0.3606 0.2870  0.6760
