Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
  12%    41         43-47        48-49         265         99  0.2703  0.1963    0.9326
  15%    16         18-23        24-25         406        147  0.2706  0.2086    0.9463
  25%    32         34-44        45-47         582        145  0.2710  0.2049    0.9465
  35%    26         28-42        43-46         768        217  0.2711  0.2066    0.9517
  25%     8         10-20        21-23         571        218  0.2715  0.2123    0.9410
  30%    13         15-26        27-30         752        241  0.2717  0.2114    0.9583
  15%    15         17-22        23-24         380        151  0.2723  0.2081    0.9454
  10%    21         23-26        27-28         286        123  0.2724  0.2191    0.9529
  20%    35         37-44        45-47         465        145  0.2725  0.2038    0.9459
  15%    14         16-21        22-23         353        148  0.2726  0.2091    0.9432
  12%    18         20-24        25-26         364        135  0.2727  0.2072    0.9498
  25%    10         12-22        23-25         601        222  0.2729  0.2058    0.9460
  15%    33         35-40        41-42         316        110  0.2729  0.2178    0.9551
  20%    16         18-25        26-28         553        187  0.2729  0.2161    0.9526
  40%     7          9-25        26-30        1003        305  0.2731  0.2107    0.9568
  40%     6          8-24        25-29        1003        318  0.2731  0.2081    0.9532
  10%     1           3-6          7-8         282        142  0.2734  0.2107    0.9488
  35%     5          7-21        22-25         850        295  0.2734  0.2070    0.9443
  40%     4          6-22        23-27         992        351  0.2735  0.2076    0.9488
  35%    27         29-43        44-47         772        203  0.2738  0.2081    0.9453
   5%    20         22-23        24-24         148         76  0.2739  0.2089    0.9430
  20%    36         38-45        46-48         467        144  0.2740  0.2108    0.9421
  25%    11         13-23        24-26         626        211  0.2741  0.2065    0.9472
  25%    12         14-24        25-27         656        200  0.2743  0.2073    0.9509
  25%    36         38-48        49-51         611        155  0.2744  0.2068    0.9367
  12%    40         42-46        47-48         274         96  0.2745  0.2152    0.9369
  10%    20         22-25        26-27         295        129  0.2747  0.2149    0.9529
  35%    10         12-26        27-30         887        241  0.2748  0.2125    0.9573
   5%    17         19-20        21-21         133         70  0.2748  0.2051    0.9322
  30%    10         12-23        24-27         676        276  0.2750  0.2091    0.9487
  30%    28         30-41        42-45         593        226  0.2753  0.2079    0.9509
  20%    33         35-42        43-45         426        169  0.2756  0.2069    0.9503
  15%    41         43-48        49-50         313        102  0.2756  0.2084    0.9350
  12%    34         36-40        41-42         277        110  0.2758  0.2204    0.9541
