Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Italian Grand Prix\italian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.5782 [0.4326, 0.7238]     0.4307  [0.335, 0.5264]    0.7214 [0.5211, 0.9217]
  15%    24         26-31        32-33         396        117 0.2656 0.2060  0.9765
  20%    22         24-31        32-33         525        117 0.2658 0.2096  0.9764
  20%     8         10-17        18-19         489        120 0.2661 0.2021  0.9709
  35%    23         25-38        39-42         875        226 0.2661 0.2043  0.9748
  25%    19         21-30        31-33         646        179 0.2662 0.2087  0.9761
  40%    11         13-28        29-32         988        260 0.2663 0.2062  0.9752
  60%    10         12-35        36-42        1469        405 0.2665 0.2063  0.9756
  40%    10         12-27        28-31         969        265 0.2665 0.2070  0.9743
  35%    16         18-31        32-35         880        235 0.2665 0.2089  0.9764
  12%    41         43-46        47-48         240         89 0.2667 0.2122  0.9804
  20%    24         26-33        34-35         513        118 0.2668 0.2078  0.9762
  30%    19         21-32        33-35         769        174 0.2668 0.2073  0.9761
  35%    13         15-28        29-32         865        260 0.2670 0.2078  0.9750
  30%    24         26-37        38-40         754        167 0.2674 0.2154  0.9725
  15%    21         23-28        29-30         391        137 0.2675 0.2085  0.9740
  60%     4          6-29        30-36        1525        429 0.2676 0.2049  0.9762
  60%     8         10-33        34-40        1486        408 0.2677 0.2094  0.9752
  25%    23         25-34        35-37         638        181 0.2678 0.2051  0.9772
  30%    22         24-35        36-38         760        179 0.2679 0.2094  0.9763
  12%    32         34-37        38-39         241        113 0.2679 0.2119  0.9728
  10%    11         13-16        17-17         245         62 0.2684 0.2011  0.9703
  30%    14         16-27        28-30         737        203 0.2686 0.2094  0.9735
  12%     5          7-10        11-12         288        112 0.2687 0.2167  0.9665
  60%    11         13-36        37-43        1487        398 0.2687 0.2106  0.9752
  15%     9         11-16        17-18         357        124 0.2688 0.2148  0.9710
  12%    18         20-23        24-25         235        129 0.2688 0.2197  0.9697
  10%    27         29-32        33-33         260         56 0.2693 0.2051  0.9753
  60%     3          5-28        29-35        1522        434 0.2695 0.2094  0.9751
  30%    16         18-29        30-32         751        190 0.2698 0.2075  0.9750
  40%    22         24-39        40-43         996        227 0.2699 0.2061  0.9758
  40%     8         10-25        26-29         973        267 0.2700 0.2132  0.9715
  35%    12         14-27        28-31         863        265 0.2700 0.2101  0.9736
  40%     5          7-22        23-26         997        260 0.2704 0.2164  0.9705
  30%    21         23-34        35-37         767        181 0.2705 0.2069  0.9767
  20%    19         21-28        29-30         509        137 0.2705 0.2077  0.9735
  25%     5          7-16        17-19         645        182 0.2716 0.2091  0.9697
  30%    23         25-36        37-39         761        171 0.2716 0.2208  0.9735
  10%     4           6-9        10-10         285         70 0.2718 0.2252  0.9638
  20%    17         19-26        27-28         488        131 0.2719 0.2161  0.9710
  20%    25         27-34        35-36         507        123 0.2723 0.2036  0.9767
  30%     9         11-22        23-25         709        194 0.2724 0.2175  0.9703
  25%    24         26-35        36-38         631        179 0.2725 0.2131  0.9755
  10%    26         28-31        32-32         265         61 0.2726 0.2126  0.9754
  12%    24         26-29        30-31         267        129 0.2730 0.2026  0.9738
  12%    33         35-38        39-40         237        111 0.2731 0.2068  0.9707
  35%    10         12-25        26-29         838        267 0.2732 0.2161  0.9708
  20%    20         22-29        30-31         525        129 0.2736 0.2081  0.9737
  15%     3          5-10        11-12         422        112 0.2736 0.2131  0.9652
  12%    23         25-28        29-30         262        137 0.2736 0.2111  0.9728
  30%    15         17-28        29-31         743        199 0.2737 0.2100  0.9732
  35%    19         21-34        35-38         885        237 0.2737 0.2126  0.9754
  60%    13         15-38        39-45        1478        406 0.2740 0.2093  0.9759
  20%    21         23-30        31-32         528        123 0.2742 0.2169  0.9746
  35%    11         13-26        27-30         857        268 0.2743 0.2171  0.9717
  12%    13         15-18        19-20         246        110 0.2743 0.2103  0.9679
  15%    29         31-36        37-38         362        114 0.2743 0.2242  0.9740
  60%     2          4-27        28-34        1524        442 0.2743 0.2143  0.9736
  60%    12         14-37        38-44        1486        399 0.2744 0.2111  0.9746
  40%     9         11-26        27-30         969        268 0.2745 0.2178  0.9716
  40%    20         22-37        38-41        1012        220 0.2750 0.2162  0.9717
  60%     9         11-34        35-41        1476        401 0.2750 0.2121  0.9738
  10%    32         34-37        38-38         241         56 0.2751 0.2191  0.9721
  40%    24         26-41        42-45         974        242 0.2752 0.2123  0.9775
  20%    27         29-36        37-38         499        114 0.2752 0.2249  0.9738
  15%    27         29-34        35-36         376        123 0.2755 0.2058  0.9761
  15%    19         21-26        27-28         378        131 0.2756 0.2191  0.9702
  35%    24         26-39        40-43         867        227 0.2756 0.2088  0.9747
  25%    11         13-22        23-25         597        194 0.2757 0.2197  0.9696
  25%    18         20-29        30-32         631        190 0.2760 0.2132  0.9738
  60%    16         18-41        42-48        1458        391 0.2762 0.2163  0.9785
  12%    36         38-41        42-43         220        120 0.2764 0.2151  0.9762
  35%    22         24-37        38-41         883        220 0.2765 0.2180  0.9714
  15%    26         28-33        34-35         382        118 0.2766 0.2156  0.9745
  15%    15         17-22        23-24         352        129 0.2766 0.2190  0.9701
  40%    17         19-34        35-38         995        237 0.2766 0.2160  0.9748
  25%     7          9-18        19-21         623        164 0.2767 0.2108  0.9697
  25%    16         18-27        28-30         615        203 0.2773 0.2127  0.9718
  40%    15         17-32        33-36        1003        239 0.2776 0.2122  0.9748
  10%    21         23-26        27-27         260         65 0.2782 0.2196  0.9683
  25%    17         19-28        29-31         619        199 0.2782 0.2147  0.9724
  25%    30         32-41        42-44         578        179 0.2785 0.2138  0.9762
  30%    25         27-38        39-41         744        164 0.2786 0.2131  0.9707
  30%     3          5-16        17-19         779        182 0.2787 0.2166  0.9681
  15%     2           4-9        10-11         420        135 0.2797 0.2197  0.9637
  25%    15         17-26        27-29         612        201 0.2800 0.2205  0.9699
  35%    18         20-33        34-37         877        241 0.2800 0.2169  0.9746
  60%    15         17-40        41-47        1467        399 0.2806 0.2169  0.9771
  12%    21         23-26        27-28         260        131 0.2806 0.2217  0.9691
  10%    13         15-18        19-19         246         58 0.2807 0.2137  0.9650
   5%    43         45-46        47-47         123         44 0.2807 0.2144  0.9774
   5%    33         35-36        37-37         123         58 0.2807 0.2355  0.9742
  12%    26         28-31        32-33         265        117 0.2808 0.2219  0.9737
  30%    32         34-45        46-48         703        149 0.2808 0.2267  0.9789
  10%     2           4-7          8-8         274         74 0.2808 0.2140  0.9545
  10%    14         16-19        20-20         242         52 0.2808 0.2299  0.9678
  25%    27         29-38        39-41         613        164 0.2810 0.2133  0.9702
  30%    33         35-46        47-49         703        130 0.2812 0.2151  0.9793
  25%    34         36-45        46-48         585        149 0.2812 0.2285  0.9789
  15%    22         24-29        30-31         396        129 0.2813 0.2121  0.9722
  35%    26         28-41        42-45         843        242 0.2817 0.2204  0.9765
  40%    16         18-33        34-37         997        241 0.2819 0.2183  0.9743
  15%     8         10-15        16-17         367        122 0.2820 0.2148  0.9677
  30%    27         29-40        41-43         724        173 0.2823 0.2149  0.9746
  20%    18         20-27        28-29         495        136 0.2825 0.2196  0.9702
  30%    13         15-26        27-29         734        201 0.2825 0.2240  0.9693
  25%     2          4-13        14-16         661        186 0.2827 0.2295  0.9681
  30%    28         30-41        42-44         707        179 0.2827 0.2209  0.9754
  30%     5          7-18        19-21         769        164 0.2828 0.2179  0.9683
  30%    26         28-39        40-42         736        169 0.2831 0.2166  0.9724
  60%    14         16-39        40-46        1473        409 0.2834 0.2187  0.9755
  20%    40         42-49        50-51         432         84 0.2834 0.2239  0.9795
  12%    31         33-36        37-38         239        114 0.2835 0.2351  0.9722
  15%    20         22-27        28-29         389        136 0.2837 0.2211  0.9700
  10%    23         25-28        29-29         262         70 0.2842 0.2290  0.9702
  40%    23         25-40        41-44         986        232 0.2847 0.2189  0.9746
  12%    29         31-34        35-36         239        123 0.2848 0.2148  0.9745
  12%     1           3-6          7-8         257        146 0.2851 0.2227  0.9519
  12%    30         32-35        36-37         235        123 0.2859 0.2279  0.9742
  35%    29         31-44        45-48         819        212 0.2860 0.2274  0.9784
  40%    27         29-44        45-48         956        212 0.2861 0.2271  0.9784
