Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
   5%    24         26-26        27-27          66         67    0.7218    0.5466  6.041000e-01
  12%    18         20-23        24-25         143        129    0.7250    0.5789  6.262000e-01
   5%    20         22-22        23-23          35         52    0.7999    0.6074  5.715000e-01
   5%    36         38-38        39-39          51         50    0.8759    0.6706  7.450000e-02
   5%     8         10-10        11-11          55         52    0.8927    0.6005  2.092000e-01
   5%    43         45-45        46-46          65         60    0.9269    0.6632 -4.661000e-01
   5%    14         16-16        17-17          50         39    0.9545    0.7517 -3.980000e-02
   5%    16         18-18        19-19          29         30    0.9574    0.7944 -5.335000e-01
  15%    15         17-21        22-23         154         87    0.9665    0.7212  4.483000e-01
  10%    15         17-20        21-21         128         26    1.0298    0.4849  4.390000e-02
   5%    37         39-39        40-40          50         49    1.0493    0.8429 -5.978000e-01
   5%    27         29-29        30-30          68         65    1.0562    0.8447 -6.930000e-02
   5%     7           9-9        10-10          47         55    1.0928    0.7215 -1.730000e-01
   5%    38         40-40        41-41          49         51    1.6499    0.8817 -2.033700e+00
   5%    11         13-13        14-14          64         65    1.7731    1.3125 -2.468800e+00
   5%     9         11-11        12-12          52         69    1.7956    1.4195 -2.013100e+00
   5%    21         23-23        24-24          52         66    2.0591    1.7079 -2.350100e+00
   5%    22         24-24        25-25          66         63    2.1237    1.6171 -1.905500e+00
   5%     5           7-7          8-8          52         51    2.2178    1.4596 -2.349000e+00
   5%     2           4-4          5-5          51         56    2.2379    1.6337 -2.373600e+00
  12%    15         17-20        21-22         128         61    2.3905    1.3594 -2.515900e+00
   5%     6           8-8          9-9          51         47    2.6399    2.0411 -4.394400e+00
   5%    19         21-21        22-22          26         35    2.6480    1.7636 -2.587400e+00
   5%    12         14-14        15-15          65         63    2.7185    2.0892 -8.521900e+00
   5%    40         42-42        43-43          62         63    3.8425    2.7272 -1.712460e+01
   5%    25         27-27        28-28          67         67    4.0533    3.0387 -1.244140e+01
  10%    16         18-21        22-22         115         35    4.1806    2.2352 -7.941800e+00
  12%    16         18-21        22-23         115         87    4.4274    2.5392 -1.057820e+01
   5%    28         30-30        31-31          65         65    4.9560    3.5853 -2.043950e+01
   5%    29         31-31        32-32          65         69    6.2640    3.7340 -3.314250e+01
   5%    44         46-46        47-47          60         62   10.3114    6.6876 -1.055711e+02
   5%    35         37-37        38-38          59         51   13.2367   10.2391 -2.291187e+02
   5%    39         41-41        42-42          51         62   19.7940   10.8792 -4.286626e+02
   5%    30         32-32        33-33          69         68   28.9092   22.6314 -7.406666e+02
   5%    34         36-36        37-37          62         59 6182.4380 2545.8401 -4.763142e+07
Arquivos .txt salvos em: c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\lr_wf_fold_results\saudi_arabian_grand_prix\wf_geral

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) | APENAS 2025 ---
Ano avaliado: 2025 | Voltas consideradas: 46 (5-50) | Treino: todos os anos (exceto a janela de teste de 2025 em cada fold)
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     2     45      0.3261 [0.3077, 0.3444]     0.2558 [0.2401, 0.2714]    0.8401 [0.8148, 0.8654]
  10%     5     42      0.3189 [0.3012, 0.3365]     0.2493 [0.2344, 0.2642]    0.8508 [0.8271, 0.8744]
  12%     6     41      0.3241 [0.3109, 0.3372]     0.2515  [0.2399, 0.263]    0.8567 [0.8366, 0.8767]
  15%     7     40      0.3206  [0.309, 0.3322]     0.2486  [0.2383, 0.259]    0.8632  [0.8474, 0.879]
  20%     9     38      0.3179 [0.3072, 0.3287]     0.2471 [0.2369, 0.2573]    0.8693 [0.8564, 0.8822]
  25%    12     35      0.3191 [0.3096, 0.3285]     0.2477 [0.2378, 0.2576]    0.8751 [0.8646, 0.8856]
  30%    14     33      0.3196 [0.3098, 0.3294]     0.2486 [0.2383, 0.2589]    0.8767 [0.8659, 0.8875]
  35%    16     31      0.3239 [0.3153, 0.3325]     0.2532 [0.2436, 0.2628]    0.8784  [0.869, 0.8879]
  40%    18     29      0.3247 [0.3157, 0.3337]     0.2544 [0.2444, 0.2645]    0.8802 [0.8705, 0.8899]
  60%    28     19      0.3244 [0.3133, 0.3355]     0.2533 [0.2405, 0.2661]    0.8674 [0.8599, 0.8748]

--- TODOS OS FOLDS (WF 2025) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Teste_2025  Train_Regs_Total  Train_Regs_2022_2024  Train_Regs_2025_Passado  Test_Regs_2025   RMSE    MAE     R2
   5%    37             42-42              2517                  1947                      570              17 0.1683 0.1346 0.9665
  10%    34             42-42              2517                  1947                      570              17 0.1683 0.1346 0.9665
  10%    28             36-36              2421                  1947                      474              16 0.1996 0.1491 0.9320
   5%    31             36-36              2421                  1947                      474              16 0.1996 0.1491 0.9320
  12%     8             16-17              2125                  1947                      178              36 0.2209 0.1728 0.9158
  20%     5             16-17              2125                  1947                      178              36 0.2209 0.1728 0.9158
  15%     7             16-17              2125                  1947                      178              36 0.2209 0.1728 0.9158
  10%     9             17-17              2143                  1947                      196              18 0.2220 0.1737 0.9091
   5%    12             17-17              2143                  1947                      196              18 0.2220 0.1737 0.9091
   5%    11             16-16              2125                  1947                      178              18 0.2227 0.1724 0.9196
  10%     8             16-16              2125                  1947                      178              18 0.2227 0.1724 0.9196
  25%     3             16-18              2125                  1947                      178              53 0.2439 0.1785 0.8985
  30%     1             16-18              2125                  1947                      178              53 0.2439 0.1785 0.8985
  10%    38             46-46              2585                  1947                      638              15 0.2482 0.2106 0.8663
   5%    41             46-46              2585                  1947                      638              15 0.2482 0.2106 0.8663
  20%     6             17-18              2143                  1947                      196              35 0.2566 0.1841 0.8844
  12%     9             17-18              2143                  1947                      196              35 0.2566 0.1841 0.8844
  15%     8             17-18              2143                  1947                      196              35 0.2566 0.1841 0.8844
   5%    39             44-44              2551                  1947                      604              17 0.2567 0.2113 0.8818
  10%    36             44-44              2551                  1947                      604              17 0.2567 0.2113 0.8818
  12%    27             35-36              2407                  1947                      460              30 0.2608 0.1872 0.8903
  15%    26             35-36              2407                  1947                      460              30 0.2608 0.1872 0.8903
  20%    25             36-37              2421                  1947                      474              33 0.2608 0.2035 0.8870
  12%    28             36-37              2421                  1947                      474              33 0.2608 0.2035 0.8870
  15%    27             36-37              2421                  1947                      474              33 0.2608 0.2035 0.8870
  20%    24             35-36              2407                  1947                      460              30 0.2608 0.1872 0.8903
   5%     7             12-12              2057                  1947                      110              17 0.2639 0.1965 0.8757
  10%     4             12-12              2057                  1947                      110              17 0.2639 0.1965 0.8757
  25%    21             34-36              2393                  1947                      446              44 0.2659 0.2019 0.9011
  30%    19             34-36              2393                  1947                      446              44 0.2659 0.2019 0.9011
   5%    44             49-49              2634                  1947                      687              15 0.2672 0.2191 0.8878
  10%    41             49-49              2634                  1947                      687              15 0.2672 0.2191 0.8878
  40%    15             33-36              2377                  1947                      430              60 0.2758 0.2021 0.9013
  35%    17             33-36              2377                  1947                      430              60 0.2758 0.2021 0.9013
  12%    33             41-42              2502                  1947                      555              32 0.2765 0.2069 0.9044
  15%    32             41-42              2502                  1947                      555              32 0.2765 0.2069 0.9044
  20%    30             41-42              2502                  1947                      555              32 0.2765 0.2069 0.9044
  30%     2             17-19              2143                  1947                      196              48 0.2786 0.2118 0.8646
  25%     4             17-19              2143                  1947                      196              48 0.2786 0.2118 0.8646
  40%    16             34-37              2393                  1947                      446              61 0.2792 0.2176 0.8876
  35%    18             34-37              2393                  1947                      446              61 0.2792 0.2176 0.8876
  15%    37             46-47              2585                  1947                      638              33 0.2810 0.2195 0.9310
  12%    38             46-47              2585                  1947                      638              33 0.2810 0.2195 0.9310
  20%    35             46-47              2585                  1947                      638              33 0.2810 0.2195 0.9310
  25%    22             35-37              2407                  1947                      460              47 0.2812 0.2146 0.8721
  30%    20             35-37              2407                  1947                      460              47 0.2812 0.2146 0.8721
   5%    29             34-34              2393                  1947                      446              14 0.2825 0.2389 0.9094
  10%    26             34-34              2393                  1947                      446              14 0.2825 0.2389 0.9094
  30%    21             36-38              2421                  1947                      474              50 0.2841 0.2208 0.8700
  25%    23             36-38              2421                  1947                      474              50 0.2841 0.2208 0.8700
  10%    10             18-18              2161                  1947                      214              17 0.2846 0.1912 0.8647
   5%    13             18-18              2161                  1947                      214              17 0.2846 0.1912 0.8647
  25%    29             42-44              2517                  1947                      570              51 0.2867 0.2205 0.8790
  30%    27             42-44              2517                  1947                      570              51 0.2867 0.2205 0.8790
  25%     2             15-17              2109                  1947                      162              52 0.2886 0.2143 0.8703
  10%    17             25-25              2251                  1947                      304              14 0.2896 0.2290 0.9433
   5%    20             25-25              2251                  1947                      304              14 0.2896 0.2290 0.9433
  20%    22             33-34              2377                  1947                      430              30 0.2905 0.2187 0.9066
  15%    24             33-34              2377                  1947                      430              30 0.2905 0.2187 0.9066
  12%    25             33-34              2377                  1947                      430              30 0.2905 0.2187 0.9066
  10%    23             31-31              2346                  1947                      399              14 0.2909 0.2516 0.9136
   5%    26             31-31              2346                  1947                      399              14 0.2909 0.2516 0.9136
  25%    27             40-42              2487                  1947                      540              47 0.2929 0.2117 0.8764
  30%    25             40-42              2487                  1947                      540              47 0.2929 0.2117 0.8764
  60%     7             33-38              2377                  1947                      430              94 0.2942 0.2240 0.8815
  40%    17             35-38              2407                  1947                      460              64 0.2946 0.2276 0.8620
  35%    19             35-38              2407                  1947                      460              64 0.2946 0.2276 0.8620
  20%    38             49-50              2634                  1947                      687              26 0.2960 0.2368 0.8338
  15%    40             49-50              2634                  1947                      687              26 0.2960 0.2368 0.8338
  12%    41             49-50              2634                  1947                      687              26 0.2960 0.2368 0.8338
  25%    31             44-46              2551                  1947                      604              49 0.2963 0.2314 0.8831
  30%    29             44-46              2551                  1947                      604              49 0.2963 0.2314 0.8831
  35%     1             17-20              2143                  1947                      196              60 0.2968 0.2226 0.8601
  10%    25             33-33              2377                  1947                      430              16 0.2970 0.2014 0.9040
   5%    28             33-33              2377                  1947                      430              16 0.2970 0.2014 0.9040
  40%    18             36-39              2421                  1947                      474              66 0.2976 0.2324 0.8568
  35%    20             36-39              2421                  1947                      474              66 0.2976 0.2324 0.8568
  12%    26             34-35              2393                  1947                      446              28 0.2982 0.2350 0.8870
  15%    25             34-35              2393                  1947                      446              28 0.2982 0.2350 0.8870
  20%    23             34-35              2393                  1947                      446              28 0.2982 0.2350 0.8870
  25%    20             33-35              2377                  1947                      430              44 0.2987 0.2228 0.8932
  30%    18             33-35              2377                  1947                      430              44 0.2987 0.2228 0.8932
  60%     8             34-39              2393                  1947                      446              94 0.2990 0.2335 0.8679
  35%    28             44-47              2551                  1947                      604              67 0.2995 0.2301 0.9111
  40%    26             44-47              2551                  1947                      604              67 0.2995 0.2301 0.9111
  60%    16             42-47              2517                  1947                      570             101 0.2999 0.2285 0.9018
  40%    21             39-42              2471                  1947                      524              63 0.3000 0.2237 0.8656
  35%    23             39-42              2471                  1947                      524              63 0.3000 0.2237 0.8656
  12%    34             42-43              2517                  1947                      570              34 0.3004 0.2251 0.8772
  20%    31             42-43              2517                  1947                      570              34 0.3004 0.2251 0.8772
  15%    33             42-43              2517                  1947                      570              34 0.3004 0.2251 0.8772
  35%    30             46-49              2585                  1947                      638              64 0.3010 0.2221 0.8960
  40%    28             46-49              2585                  1947                      638              64 0.3010 0.2221 0.8960
  15%     9             18-19              2161                  1947                      214              30 0.3020 0.2298 0.8459
  20%     7             18-19              2161                  1947                      214              30 0.3020 0.2298 0.8459
  12%    10             18-19              2161                  1947                      214              30 0.3020 0.2298 0.8459
  35%    25             41-44              2502                  1947                      555              66 0.3046 0.2361 0.8668
  40%    23             41-44              2502                  1947                      555              66 0.3046 0.2361 0.8668
   5%    42             47-47              2600                  1947                      653              18 0.3053 0.2263 0.9450
  10%    39             47-47              2600                  1947                      653              18 0.3053 0.2263 0.9450
  10%    20             28-28              2298                  1947                      351              15 0.3057 0.2307 0.9209
   5%    23             28-28              2298                  1947                      351              15 0.3057 0.2307 0.9209
  60%    18             44-49              2551                  1947                      604              98 0.3062 0.2288 0.8928
  35%    26             42-45              2517                  1947                      570              68 0.3066 0.2320 0.8833
  40%    24             42-45              2517                  1947                      570              68 0.3066 0.2320 0.8833
  60%    15             41-46              2502                  1947                      555              98 0.3076 0.2376 0.8731
  10%    14             22-22              2212                  1947                      265              12 0.3082 0.2623 0.9050
   5%    17             22-22              2212                  1947                      265              12 0.3082 0.2623 0.9050
  60%     9             35-40              2407                  1947                      460              95 0.3083 0.2362 0.8434
  15%     3             12-13              2057                  1947                      110              34 0.3087 0.2361 0.8276
  20%     1             12-13              2057                  1947                      110              34 0.3087 0.2361 0.8276
  12%     4             12-13              2057                  1947                      110              34 0.3087 0.2361 0.8276
  60%    11             37-42              2437                  1947                      490              97 0.3104 0.2395 0.8537
  25%    33             46-48              2585                  1947                      638              49 0.3113 0.2227 0.8964
  30%    31             46-48              2585                  1947                      638              49 0.3113 0.2227 0.8964
  10%    29             37-37              2437                  1947                      490              17 0.3115 0.2601 0.8379
   5%    32             37-37              2437                  1947                      490              17 0.3115 0.2601 0.8379
  60%    13             39-44              2471                  1947                      524              97 0.3116 0.2384 0.8493
  60%    10             36-41              2421                  1947                      474              96 0.3116 0.2386 0.8436
  25%    32             45-47              2568                  1947                      621              50 0.3128 0.2363 0.9152
  30%    30             45-47              2568                  1947                      621              50 0.3128 0.2363 0.9152
  12%    14             22-23              2212                  1947                      265              24 0.3130 0.2420 0.9096
  15%    13             22-23              2212                  1947                      265              24 0.3130 0.2420 0.9096
  20%    11             22-23              2212                  1947                      265              24 0.3130 0.2420 0.9096
  20%     4             15-16              2109                  1947                      162              34 0.3135 0.2297 0.8585
  12%     7             15-16              2109                  1947                      162              34 0.3135 0.2297 0.8585
  15%     6             15-16              2109                  1947                      162              34 0.3135 0.2297 0.8585
  12%     3             11-12              2039                  1947                       92              35 0.3137 0.2323 0.8249
  15%     2             11-12              2039                  1947                       92              35 0.3137 0.2323 0.8249
  30%    32             47-49              2600                  1947                      653              49 0.3147 0.2248 0.9006
  25%    34             47-49              2600                  1947                      653              49 0.3147 0.2248 0.9006
  20%    33             44-45              2551                  1947                      604              34 0.3154 0.2410 0.8865
  15%    35             44-45              2551                  1947                      604              34 0.3154 0.2410 0.8865
  12%    36             44-45              2551                  1947                      604              34 0.3154 0.2410 0.8865
  20%    17             28-29              2298                  1947                      351              32 0.3161 0.2570 0.9118
  12%    20             28-29              2298                  1947                      351              32 0.3161 0.2570 0.9118
  15%    19             28-29              2298                  1947                      351              32 0.3161 0.2570 0.9118
  20%    34             45-46              2568                  1947                      621              32 0.3164 0.2426 0.8817
  15%    36             45-46              2568                  1947                      621              32 0.3164 0.2426 0.8817
  12%    37             45-46              2568                  1947                      621              32 0.3164 0.2426 0.8817
   5%    18             23-23              2224                  1947                      277              12 0.3166 0.2123 0.9119
  10%    15             23-23              2224                  1947                      277              12 0.3166 0.2123 0.9119
  25%     5             18-20              2161                  1947                      214              42 0.3170 0.2376 0.8491
  30%     3             18-20              2161                  1947                      214              42 0.3170 0.2376 0.8491
  35%     6             22-25              2212                  1947                      265              53 0.3177 0.2545 0.9220
  20%    13             24-25              2236                  1947                      289              29 0.3177 0.2631 0.9294
  40%     4             22-25              2212                  1947                      265              53 0.3177 0.2545 0.9220
  15%    15             24-25              2236                  1947                      289              29 0.3177 0.2631 0.9294
  12%    16             24-25              2236                  1947                      289              29 0.3177 0.2631 0.9294
  60%    14             40-45              2487                  1947                      540              98 0.3180 0.2387 0.8642
  40%    29             47-50              2600                  1947                      653              60 0.3184 0.2318 0.8875
  35%    31             47-50              2600                  1947                      653              60 0.3184 0.2318 0.8875
   5%     8             13-13              2074                  1947                      127              17 0.3185 0.2542 0.8097
  10%     5             13-13              2074                  1947                      127              17 0.3185 0.2542 0.8097
  60%    19             45-50              2568                  1947                      621              92 0.3188 0.2368 0.8858
  20%    26             37-38              2437                  1947                      490              34 0.3194 0.2584 0.8379
  25%    28             41-43              2502                  1947                      555              49 0.3194 0.2440 0.8619
  30%    26             41-43              2502                  1947                      555              49 0.3194 0.2440 0.8619
  12%    29             37-38              2437                  1947                      490              34 0.3194 0.2584 0.8379
  15%    28             37-38              2437                  1947                      490              34 0.3194 0.2584 0.8379
   5%    30             35-35              2407                  1947                      460              14 0.3200 0.2350 0.8439
  10%    27             35-35              2407                  1947                      460              14 0.3200 0.2350 0.8439
   5%    33             38-38              2454                  1947                      507              17 0.3205 0.2493 0.8437
  10%    30             38-38              2454                  1947                      507              17 0.3205 0.2493 0.8437
  20%    37             48-49              2618                  1947                      671              31 0.3208 0.2245 0.8154
  25%    10             23-25              2224                  1947                      277              41 0.3208 0.2505 0.9237
  35%    24             40-43              2487                  1947                      540              64 0.3208 0.2389 0.8473
  40%    22             40-43              2487                  1947                      540              64 0.3208 0.2389 0.8473
  15%    39             48-49              2618                  1947                      671              31 0.3208 0.2245 0.8154
  12%    40             48-49              2618                  1947                      671              31 0.3208 0.2245 0.8154
  30%     8             23-25              2224                  1947                      277              41 0.3208 0.2505 0.9237
  35%    27             43-46              2534                  1947                      587              66 0.3211 0.2516 0.8560
  40%    25             43-46              2534                  1947                      587              66 0.3211 0.2516 0.8560
  15%    30             39-40              2471                  1947                      524              31 0.3235 0.2406 0.8034
  20%    28             39-40              2471                  1947                      524              31 0.3235 0.2406 0.8034
  12%    31             39-40              2471                  1947                      524              31 0.3235 0.2406 0.8034
  25%    35             48-50              2618                  1947                      671              42 0.3239 0.2343 0.7970
  30%    33             48-50              2618                  1947                      671              42 0.3239 0.2343 0.7970
  30%     7             22-24              2212                  1947                      265              39 0.3240 0.2616 0.9132
  25%     9             22-24              2212                  1947                      265              39 0.3240 0.2616 0.9132
  30%    23             38-40              2454                  1947                      507              48 0.3243 0.2463 0.8201
   5%     6             11-11              2039                  1947                       92              18 0.3243 0.2327 0.8128
  10%     3             11-11              2039                  1947                       92              18 0.3243 0.2327 0.8128
  25%    25             38-40              2454                  1947                      507              48 0.3243 0.2463 0.8201
  60%    12             38-43              2454                  1947                      507              97 0.3244 0.2472 0.8414
  20%    27             38-39              2454                  1947                      507              33 0.3250 0.2573 0.8328
  12%    30             38-39              2454                  1947                      507              33 0.3250 0.2573 0.8328
  15%    29             38-39              2454                  1947                      507              33 0.3250 0.2573 0.8328
   5%    35             40-40              2487                  1947                      540              15 0.3255 0.2207 0.7672
  10%    32             40-40              2487                  1947                      540              15 0.3255 0.2207 0.7672
  40%    27             45-48              2568                  1947                      621              66 0.3256 0.2350 0.8940
  35%    29             45-48              2568                  1947                      621              66 0.3256 0.2350 0.8940
  35%    21             37-40              2437                  1947                      490              65 0.3257 0.2548 0.8198
  40%    19             37-40              2437                  1947                      490              65 0.3257 0.2548 0.8198
   5%    14             19-19              2178                  1947                      231              13 0.3259 0.2831 0.8176
  10%    11             19-19              2178                  1947                      231              13 0.3259 0.2831 0.8176
  25%    24             37-39              2437                  1947                      490              50 0.3262 0.2630 0.8284
  30%    22             37-39              2437                  1947                      490              50 0.3262 0.2630 0.8284
   5%    34             39-39              2471                  1947                      524              16 0.3270 0.2631 0.8205
  10%    31             39-39              2471                  1947                      524              16 0.3270 0.2631 0.8205
  60%     6             32-37              2360                  1947                      413              94 0.3273 0.2577 0.8670
  60%    17             43-48              2534                  1947                      587             100 0.3276 0.2447 0.8754
  35%     2             18-21              2161                  1947                      214              51 0.3293 0.2485 0.8454
  40%    10             28-31              2298                  1947                      351              62 0.3293 0.2727 0.8937
  35%    12             28-31              2298                  1947                      351              62 0.3293 0.2727 0.8937
  15%    34             43-44              2534                  1947                      587              34 0.3295 0.2627 0.8150
  20%    32             43-44              2534                  1947                      587              34 0.3295 0.2627 0.8150
  12%    35             43-44              2534                  1947                      587              34 0.3295 0.2627 0.8150
  20%    19             30-31              2330                  1947                      383              30 0.3304 0.2773 0.8788
  15%    21             30-31              2330                  1947                      383              30 0.3304 0.2773 0.8788
  12%    22             30-31              2330                  1947                      383              30 0.3304 0.2773 0.8788
   5%    24             29-29              2313                  1947                      366              17 0.3305 0.2861 0.8981
  10%    21             29-29              2313                  1947                      366              17 0.3305 0.2861 0.8981
   5%    45             50-50              2649                  1947                      702              11 0.3306 0.2606 0.6761
  12%    15             23-24              2224                  1947                      277              27 0.3306 0.2580 0.9141
  10%    42             50-50              2649                  1947                      702              11 0.3306 0.2606 0.6761
  20%    12             23-24              2224                  1947                      277              27 0.3306 0.2580 0.9141
  15%    14             23-24              2224                  1947                      277              27 0.3306 0.2580 0.9141
  25%    15             28-30              2298                  1947                      351              48 0.3318 0.2722 0.8932
  30%    13             28-30              2298                  1947                      351              48 0.3318 0.2722 0.8932
  25%     1             14-16              2091                  1947                      144              52 0.3319 0.2505 0.8274
  40%    20             38-41              2454                  1947                      507              63 0.3321 0.2549 0.8231
  35%    22             38-41              2454                  1947                      507              63 0.3321 0.2549 0.8231
  30%     6             21-23              2203                  1947                      256              33 0.3327 0.2582 0.8957
  25%     8             21-23              2203                  1947                      256              33 0.3327 0.2582 0.8957
  60%     5             31-36              2346                  1947                      399              91 0.3330 0.2702 0.8732
  20%     8             19-20              2178                  1947                      231              25 0.3336 0.2668 0.8418
  15%    10             19-20              2178                  1947                      231              25 0.3336 0.2668 0.8418
  12%    11             19-20              2178                  1947                      231              25 0.3336 0.2668 0.8418
  12%    39             47-48              2600                  1947                      653              34 0.3352 0.2277 0.9018
  20%    36             47-48              2600                  1947                      653              34 0.3352 0.2277 0.9018
  15%    38             47-48              2600                  1947                      653              34 0.3352 0.2277 0.9018
  25%    26             39-41              2471                  1947                      524              46 0.3357 0.2562 0.8131
  30%    24             39-41              2471                  1947                      524              46 0.3357 0.2562 0.8131
  40%     3             21-24              2203                  1947                      256              48 0.3363 0.2701 0.9047
  35%     5             21-24              2203                  1947                      256              48 0.3363 0.2701 0.9047
  10%    16             24-24              2236                  1947                      289              15 0.3367 0.2927 0.9176
   5%    19             24-24              2236                  1947                      289              15 0.3367 0.2927 0.9176
  40%     2             20-23              2191                  1947                      244              45 0.3368 0.2567 0.8899
  35%     4             20-23              2191                  1947                      244              45 0.3368 0.2567 0.8899
  35%     7             23-26              2224                  1947                      277              57 0.3370 0.2678 0.9166
  40%     5             23-26              2224                  1947                      277              57 0.3370 0.2678 0.9166
  15%     4             13-14              2074                  1947                      127              35 0.3375 0.2708 0.7857
  20%     2             13-14              2074                  1947                      127              35 0.3375 0.2708 0.7857
  12%     5             13-14              2074                  1947                      127              35 0.3375 0.2708 0.7857
  25%    14             27-29              2281                  1947                      334              49 0.3376 0.2703 0.9035
  30%    12             27-29              2281                  1947                      334              49 0.3376 0.2703 0.9035
  12%    17             25-26              2251                  1947                      304              30 0.3385 0.2726 0.9196
  15%    16             25-26              2251                  1947                      304              30 0.3385 0.2726 0.9196
  20%    14             25-26              2251                  1947                      304              30 0.3385 0.2726 0.9196
  25%    19             32-34              2360                  1947                      413              47 0.3388 0.2687 0.8792
  30%    17             32-34              2360                  1947                      413              47 0.3388 0.2687 0.8792
  20%    10             21-22              2203                  1947                      256              21 0.3396 0.2796 0.8805
  15%    12             21-22              2203                  1947                      256              21 0.3396 0.2796 0.8805
  25%    30             43-45              2534                  1947                      587              51 0.3396 0.2642 0.8540
  30%    28             43-45              2534                  1947                      587              51 0.3396 0.2642 0.8540
  12%    13             21-22              2203                  1947                      256              21 0.3396 0.2796 0.8805
  40%     7             25-28              2251                  1947                      304              62 0.3399 0.2716 0.9132
  35%     9             25-28              2251                  1947                      304              62 0.3399 0.2716 0.9132
  30%     9             24-26              2236                  1947                      289              45 0.3399 0.2805 0.9182
  25%    11             24-26              2236                  1947                      289              45 0.3399 0.2805 0.9182
  40%     1             19-22              2178                  1947                      231              46 0.3400 0.2731 0.8610
  35%     3             19-22              2178                  1947                      231              46 0.3400 0.2731 0.8610
  10%    12             20-20              2191                  1947                      244              12 0.3401 0.2434 0.8585
   5%    15             20-20              2191                  1947                      244              12 0.3401 0.2434 0.8585
  25%     7             20-22              2191                  1947                      244              33 0.3412 0.2666 0.8748
  30%     5             20-22              2191                  1947                      244              33 0.3412 0.2666 0.8748
  30%    14             29-31              2313                  1947                      366              47 0.3413 0.2893 0.8795
  25%    16             29-31              2313                  1947                      366              47 0.3413 0.2893 0.8795
  40%    14             32-35              2360                  1947                      413              61 0.3422 0.2687 0.8692
  35%    16             32-35              2360                  1947                      413              61 0.3422 0.2687 0.8692
  40%    13             31-34              2346                  1947                      399              61 0.3424 0.2820 0.8792
  35%    15             31-34              2346                  1947                      399              61 0.3424 0.2820 0.8792
  15%    18             27-28              2281                  1947                      334              32 0.3435 0.2650 0.9045
  20%    16             27-28              2281                  1947                      334              32 0.3435 0.2650 0.9045
  12%    19             27-28              2281                  1947                      334              32 0.3435 0.2650 0.9045
  12%    32             40-41              2487                  1947                      540              30 0.3440 0.2547 0.8046
  15%    31             40-41              2487                  1947                      540              30 0.3440 0.2547 0.8046
  20%    29             40-41              2487                  1947                      540              30 0.3440 0.2547 0.8046
  40%     9             27-30              2281                  1947                      334              65 0.3442 0.2794 0.8917
  35%    11             27-30              2281                  1947                      334              65 0.3442 0.2794 0.8917
  25%     6             19-21              2178                  1947                      231              34 0.3465 0.2761 0.8392
  30%     4             19-21              2178                  1947                      231              34 0.3465 0.2761 0.8392
  40%     8             26-29              2265                  1947                      318              65 0.3471 0.2791 0.9020
  35%    10             26-29              2265                  1947                      318              65 0.3471 0.2791 0.9020
  12%    21             29-30              2313                  1947                      366              33 0.3489 0.2955 0.8725
  15%    20             29-30              2313                  1947                      366              33 0.3489 0.2955 0.8725
  20%    18             29-30              2313                  1947                      366              33 0.3489 0.2955 0.8725
  25%    12             25-27              2251                  1947                      304              47 0.3491 0.2805 0.9108
  30%    10             25-27              2251                  1947                      304              47 0.3491 0.2805 0.9108
  35%     8             24-27              2236                  1947                      289              62 0.3493 0.2861 0.9111
  40%     6             24-27              2236                  1947                      289              62 0.3493 0.2861 0.9111
   5%     9             14-14              2091                  1947                      144              18 0.3497 0.2750 0.7691
  10%     6             14-14              2091                  1947                      144              18 0.3497 0.2750 0.7691
  15%    11             20-21              2191                  1947                      244              21 0.3535 0.2665 0.8514
  12%    12             20-21              2191                  1947                      244              21 0.3535 0.2665 0.8514
  20%     9             20-21              2191                  1947                      244              21 0.3535 0.2665 0.8514
  30%    11             26-28              2265                  1947                      318              48 0.3542 0.2786 0.9023
  25%    13             26-28              2265                  1947                      318              48 0.3542 0.2786 0.9023
  10%    22             30-30              2330                  1947                      383              16 0.3562 0.2972 0.8467
   5%    25             30-30              2330                  1947                      383              16 0.3562 0.2972 0.8467
  60%     4             30-35              2330                  1947                      383              91 0.3582 0.2945 0.8622
  25%    18             31-33              2346                  1947                      399              47 0.3623 0.2990 0.8682
  30%    16             31-33              2346                  1947                      399              47 0.3623 0.2990 0.8682
  10%    33             41-41              2502                  1947                      555              15 0.3636 0.2914 0.8229
   5%    36             41-41              2502                  1947                      555              15 0.3636 0.2914 0.8229
   5%    43             48-48              2618                  1947                      671              16 0.3660 0.2302 0.7219
  10%    40             48-48              2618                  1947                      671              16 0.3660 0.2302 0.7219
  20%    21             32-33              2360                  1947                      413              33 0.3661 0.2891 0.8632
  15%    23             32-33              2360                  1947                      413              33 0.3661 0.2891 0.8632
  12%    24             32-33              2360                  1947                      413              33 0.3661 0.2891 0.8632
