Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
  25%    30         32-40        41-43         532        176    0.3176    0.2406  8.845000e-01
  25%     7          9-17        18-20         504         89    0.3177    0.2489  8.617000e-01
  25%    26         28-36        37-39         588        160    0.3178    0.2500  8.743000e-01
  35%    29         31-43        44-47         773        249    0.3178    0.2449  8.807000e-01
  20%    23         25-32        33-34         530        130    0.3183    0.2426  9.047000e-01
  30%     5          7-17        18-20         607         89    0.3183    0.2512  8.612000e-01
  20%    21         23-30        31-32         514        134    0.3185    0.2472  9.118000e-01
  30%    19         21-31        32-34         640        199    0.3188    0.2409  9.072000e-01
  35%    27         29-41        42-45         781        252    0.3191    0.2409  8.841000e-01
  35%    22         24-36        37-40         850        209    0.3195    0.2535  8.714000e-01
  60%    17         19-41        42-47        1283        374    0.3203    0.2469  8.798000e-01
  35%     3          5-17        18-21         732        115    0.3203    0.2568  8.750000e-01
  40%    25         27-41        42-45         915        252    0.3204    0.2424  8.831000e-01
  10%    28         30-33        34-34         267         62    0.3210    0.2401  8.958000e-01
  60%    14         16-38        39-44        1251        337    0.3219    0.2525  8.743000e-01
  60%     4          6-28        29-34        1207        397    0.3219    0.2508  9.064000e-01
  30%    16         18-28        29-31         531        198    0.3226    0.2540  9.049000e-01
  60%    10         12-34        35-40        1278        333    0.3228    0.2522  8.722000e-01
  60%    16         18-40        41-46        1261        363    0.3231    0.2487  8.748000e-01
  60%    11         13-35        36-41        1271        322    0.3232    0.2564  8.725000e-01
  15%    31         33-37        38-39         313        101    0.3234    0.2438  8.689000e-01
  35%    31         33-45        46-49         766        234    0.3239    0.2486  8.701000e-01
  35%    14         16-28        29-32         620        267    0.3241    0.2567  9.057000e-01
  20%    30         32-39        40-41         483        100    0.3241    0.2508  8.682000e-01
  40%    23         25-39        40-43         944        225    0.3242    0.2488  8.739000e-01
  60%     3          5-27        28-33        1196        402    0.3244    0.2565  9.082000e-01
  20%    31         33-40        41-42         463        113    0.3245    0.2407  8.838000e-01
  35%    25         27-39        40-43         815        225    0.3245    0.2478  8.737000e-01
  15%    38         40-44        45-46         287        125    0.3247    0.2465  8.703000e-01
  30%    30         32-42        43-45         645        190    0.3248    0.2471  8.784000e-01
  30%    28         30-40        41-43         662        176    0.3249    0.2460  8.792000e-01
  30%    32         34-44        45-47         633        187    0.3250    0.2450  8.794000e-01
  35%     1          3-15        16-19         729        148    0.3250    0.2553  8.662000e-01
  25%    22         24-32        33-35         596        192    0.3252    0.2479  8.928000e-01
  15%    24         26-30        31-32         333        134    0.3252    0.2549  9.080000e-01
  60%    13         15-37        38-43        1263        326    0.3253    0.2560  8.729000e-01
  20%     5          7-14        15-16         455        113    0.3254    0.2490  8.674000e-01
  25%    33         35-43        44-46         509        187    0.3256    0.2482  8.667000e-01
  40%    21         23-37        38-41         961        201    0.3257    0.2598  8.688000e-01
  25%    29         31-39        40-42         548        162    0.3258    0.2530  8.738000e-01
  15%    23         25-29        30-31         331        130    0.3260    0.2528  9.030000e-01
  35%    21         23-35        36-39         840        222    0.3262    0.2545  8.671000e-01
  30%    15         17-27        28-30         503        200    0.3262    0.2572  9.052000e-01
  12%    33         35-38        39-40         234         99    0.3262    0.2620  8.619000e-01
  60%    18         20-42        43-48        1315        368    0.3267    0.2486  8.728000e-01
  40%    29         31-45        46-49         900        234    0.3268    0.2514  8.678000e-01
  20%    25         27-34        35-36         531        124    0.3276    0.2402  8.660000e-01
  12%    14         16-19        20-21         148         56    0.3278    0.2476  8.882000e-01
  40%    10         12-26        27-30         747        267    0.3281    0.2584  9.087000e-01
  60%    12         14-36        37-42        1269        322    0.3285    0.2614  8.717000e-01
  25%    18         20-28        29-31         472        198    0.3285    0.2554  9.014000e-01
  12%    27         29-32        33-34         267        130    0.3287    0.2553  8.984000e-01
  10%     9         11-14        15-15         250         63    0.3289    0.2677  8.606000e-01
  40%    18         20-34        35-38         869        234    0.3299    0.2548  8.640000e-01
  40%    20         22-36        37-40         937        209    0.3308    0.2680  8.622000e-01
  30%     1          3-13        14-16         601        178    0.3309    0.2626  8.694000e-01
  35%     2          4-16        17-20         744        128    0.3310    0.2480  8.593000e-01
  25%     3          5-13        14-16         515        178    0.3310    0.2614  8.693000e-01
  60%     2          4-26        27-32        1180        401    0.3312    0.2613  9.073000e-01
  30%    33         35-45        46-48         636        178    0.3312    0.2487  8.634000e-01
  12%     6          8-11        12-13         205        133    0.3314    0.2614  8.817000e-01
  30%    23         25-35        36-38         722        172    0.3316    0.2518  8.600000e-01
  30%    27         29-39        40-42         681        162    0.3328    0.2589  8.683000e-01
  12%    24         26-29        30-31         268        130    0.3331    0.2592  8.987000e-01
  25%    24         26-34        35-37         597        183    0.3333    0.2489  8.620000e-01
  35%    20         22-34        35-38         813        234    0.3333    0.2584  8.613000e-01
  10%    22         24-27        28-28         262         67    0.3335    0.2681  9.090000e-01
  15%    39         41-45        46-47         303        122    0.3340    0.2588  8.598000e-01
  12%    39         41-44        45-46         238        125    0.3340    0.2467  8.628000e-01
  15%     8         10-14        15-16         305        113    0.3341    0.2602  8.602000e-01
  15%    33         35-39        40-41         284        100    0.3344    0.2594  8.597000e-01
  60%    15         17-39        40-45        1251        352    0.3345    0.2563  8.692000e-01
  25%    35         37-45        46-48         512        178    0.3347    0.2513  8.605000e-01
  15%    13         15-19        20-21         211         56    0.3348    0.2391  8.834000e-01
  40%     1          3-17        18-21         818        115    0.3354    0.2779  8.629000e-01
  35%    12         14-26        27-30         614        267    0.3357    0.2640  9.044000e-01
  35%    30         32-44        45-48         770        243    0.3360    0.2534  8.693000e-01
  20%    34         36-43        44-45         447        127    0.3365    0.2507  8.732000e-01
  40%    28         30-44        45-48         900        243    0.3365    0.2551  8.689000e-01
  12%    25         27-30        31-32         267        134    0.3368    0.2631  9.013000e-01
  12%     9         11-14        15-16         250        113    0.3370    0.2650  8.577000e-01
  12%    13         15-18        19-20         181         60    0.3370    0.2628  8.400000e-01
  40%    19         21-35        36-39         901        222    0.3372    0.2646  8.580000e-01
  60%    19         21-43        44-49        1348        361    0.3373    0.2585  8.645000e-01
  10%    27         29-32        33-33         267         68    0.3374    0.2631  8.990000e-01
  25%    17         19-27        28-30         435        200    0.3375    0.2678  8.985000e-01
  25%    25         27-35        36-38         593        172    0.3376    0.2578  8.549000e-01
  25%    34         36-44        45-47         509        187    0.3388    0.2536  8.689000e-01
  15%    30         32-36        37-38         323        110    0.3391    0.2547  8.536000e-01
  12%    40         42-45        46-47         252        122    0.3393    0.2603  8.554000e-01
  12%    22         24-27        28-29         262        135    0.3403    0.2756  8.998000e-01
  20%    35         37-44        45-46         447        125    0.3403    0.2562  8.575000e-01
  20%     4          6-13        14-15         459        128    0.3404    0.2686  8.624000e-01
  20%    17         19-26        27-28         368        134    0.3405    0.2671  9.089000e-01
  30%     6          8-18        19-21         584         86    0.3414    0.2829  8.607000e-01
  25%     8         10-18        19-21         486         86    0.3423    0.2843  8.600000e-01
  10%    23         25-28        29-29         263         68    0.3423    0.2829  8.919000e-01
  10%    10         12-15        16-16         261         50    0.3429    0.2568  8.534000e-01
  20%     8         10-17        18-19         457         59    0.3430    0.2642  8.278000e-01
  30%     4          6-16        17-19         637         98    0.3432    0.2622  8.459000e-01
  15%    21         23-27        28-29         314        135    0.3440    0.2734  8.976000e-01
  30%     3          5-15        16-18         643        118    0.3443    0.2636  8.578000e-01
  15%    22         24-28        29-30         329        133    0.3449    0.2760  8.884000e-01
  60%     1          3-25        26-31        1149        398    0.3452    0.2787  9.034000e-01
  10%    26         28-31        32-32         265         69    0.3453    0.2638  8.962000e-01
  12%    23         25-28        29-30         263        133    0.3461    0.2733  8.876000e-01
  20%    10         12-19        20-21         409         56    0.3466    0.2860  8.750000e-01
  12%    42         44-47        48-49         249        112    0.3466    0.2558  8.535000e-01
  10%    43         45-48        49-49         243         56    0.3467    0.2700  8.541000e-01
  40%     9         11-25        26-29         733        268    0.3469    0.2825  9.062000e-01
  35%    11         13-25        26-29         612        268    0.3475    0.2797  9.059000e-01
  15%    28         30-34        35-36         329        124    0.3477    0.2611  8.491000e-01
  20%    19         21-28        29-30         442        133    0.3480    0.2726  8.864000e-01
  30%    14         16-26        27-29         486        202    0.3483    0.2744  9.002000e-01
  20%    26         28-35        36-37         526        121    0.3483    0.2643  8.467000e-01
  15%    41         43-47        48-49         312        112    0.3484    0.2681  8.519000e-01
  20%     2          4-11        12-13         433        133    0.3486    0.2715  8.691000e-01
