Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  25%     9         11-21        22-24         619        145      0.4566      0.2839  8.285000e-01
  12%    11         13-16        17-18         261        105      0.4642      0.3450  9.006000e-01
  12%    47         49-52        53-54         254        119      0.4723      0.3755  9.229000e-01
  10%    21         23-26        27-27         201         58      0.4803      0.3879  9.031000e-01
  10%    10         12-15        16-16         255         68      0.4806      0.3931  8.726000e-01
  10%     2           4-7          8-8         196         51      0.4846      0.3851  8.934000e-01
   5%    36         38-39        40-40         119         58      0.4852      0.3896  9.014000e-01
  12%    28         30-33        34-35         233        106      0.4869      0.3891  9.067000e-01
  12%     5          7-10        11-12         214        119      0.4888      0.4015  8.845000e-01
   5%    13         15-16        17-17         131         61      0.4947      0.3839  8.914000e-01
   5%    42         44-45        46-46         129         64      0.4948      0.4123  9.001000e-01
  12%     7          9-12        13-14         237        130      0.4952      0.3927  8.969000e-01
  12%    48         50-53        54-55         249        114      0.5002      0.4114  9.208000e-01
  12%    15         17-20        21-22         195         90      0.5048      0.3879  7.911000e-01
  12%    21         23-26        27-28         201        114      0.5062      0.4114  8.940000e-01
   5%    18         20-21        22-22          89         46      0.5097      0.4207  7.727000e-01
   5%    40         42-43        44-44         129         66      0.5100      0.3973  9.005000e-01
  10%    48         50-53        54-54         249         59      0.5120      0.4189  9.192000e-01
  10%    28         30-33        34-34         233         53      0.5173      0.4237  8.906000e-01
  10%     5          7-10        11-11         214         57      0.5302      0.4522  8.642000e-01
  12%    10         12-15        16-17         255        129      0.5325      0.4452  8.600000e-01
  40%     2          4-20        21-25         940        239      0.5336      0.3082  7.702000e-01
  12%    34         36-39        40-41         233        116      0.5340      0.4288  8.811000e-01
  10%    15         17-20        21-21         195         44      0.5363      0.4184  7.786000e-01
  40%     3          5-21        22-26         937        247      0.5381      0.3054  7.899000e-01
  20%    16         18-25        26-28         373        166      0.5392      0.3901  8.696000e-01
  40%     4          6-22        23-27         939        259      0.5424      0.3173  8.238000e-01
   5%    11         13-14        15-15         130         63      0.5521      0.4419  8.232000e-01
  15%     1           3-8         9-10         292        118      0.5594      0.4674  8.845000e-01
   5%    49         51-52        53-53         123         60      0.5653      0.3822  8.747000e-01
   5%    32         34-35        36-36         106         55      0.5786      0.4479  8.784000e-01
   5%    38         40-41        42-42         116         62      0.5786      0.4413  8.643000e-01
   5%    24         26-27        28-28         110         56      0.5791      0.4809  8.630000e-01
  15%    18         20-25        26-27         284        110      0.5813      0.4383  8.402000e-01
  10%     3           5-8          9-9         200         56      0.5841      0.4228  8.562000e-01
   5%    29         31-32        33-33         120         56      0.5882      0.4562  8.581000e-01
   5%    25         27-28        29-29         114         58      0.5968      0.4973  8.339000e-01
   5%     9         11-12        13-13         119         65      0.5971      0.4866  8.680000e-01
   5%    22         24-25        26-26         101         52      0.6035      0.4626  7.993000e-01
   5%    52         54-55        56-56         114         48      0.6061      0.4436  8.809000e-01
  12%     3           5-8         9-10         200        118      0.6098      0.4768  8.628000e-01
  12%     2           4-7          8-9         196        107      0.6111      0.4568  8.371000e-01
  15%     6          8-13        14-15         353        128      0.6212      0.5223  7.969000e-01
   5%    15         17-18        19-19         105         45      0.6525      0.5474  7.028000e-01
  40%     1          3-19        20-24         940        234      0.6570      0.3110  6.398000e-01
  12%    18         20-23        24-25         183        101      0.6797      0.3047  6.309000e-01
   5%    30         32-33        34-34         116         53      0.6856      0.5786  8.078000e-01
  12%     4           6-9        10-11         212        119      0.6896      0.5408  8.052000e-01
  10%    20         22-25        26-26         195         52      0.6904      0.4946  7.374000e-01
   5%    16         18-19        20-20          89         45      0.6916      0.5709  5.369000e-01
   5%    19         21-22        23-23          90         48      0.7029      0.6207  6.020000e-01
  35%     4          6-20        21-24         849        189      0.7039      0.3302  5.989000e-01
  12%    20         22-25        26-27         195        110      0.7055      0.5398  7.647000e-01
  10%     4           6-9        10-10         212         62      0.7081      0.5201  8.190000e-01
  20%    12         14-21        22-24         435        145      0.7206      0.3543  5.728000e-01
  12%     8         10-13        14-15         246        128      0.7505      0.6057  7.035000e-01
   5%    23         25-26        27-27         102         58      0.7541      0.6295  7.612000e-01
  12%    19         21-24        25-26         189        102      0.7671      0.5785  6.319000e-01
  12%    17         19-22        23-24         180         99      0.7692      0.3579  5.265000e-01
  10%     8         10-13        14-14         246         65      0.7829      0.6476  7.009000e-01
   5%    31         33-34        35-35         109         53      0.8474      0.7786  7.246000e-01
   5%    50         52-53        54-54         120         59      0.8667      0.6865  7.685000e-01
   5%    46         48-49        50-50         131         66      0.8811      0.5308  6.726000e-01
  10%    18         20-23        24-24         183         51      0.8922      0.3370  3.664000e-01
   5%     8         10-11        12-12         119         62      0.9169      0.7070  5.931000e-01
   5%    17         19-20        21-21          90         44      0.9345      0.7037  3.277000e-01
   5%    10         12-13        14-14         127         65      0.9519      0.7539  5.579000e-01
   5%    21         23-24        25-25          99         50      1.0827      0.7709  5.370000e-02
   5%     7          9-10        11-11         118         57      1.4453      1.1304 -9.100000e-03
   5%     1           3-4          5-5          92         44      1.6998      1.4653 -2.504000e-01
   5%    20         22-23        24-24          94         51      3.2566      0.9672 -7.440800e+00
  10%     1           3-6          7-7         196         45      4.5234      2.9794 -1.028290e+01
  12%     1           3-6          7-8         196         96      6.3210      4.7802 -1.875930e+01
   5%     3           5-6          7-7         104         45      6.6057      5.0359 -2.306140e+01
   5%     6           8-9        10-10         107         62     12.5675      8.3206 -5.602130e+01
   5%    14         16-17        18-18         129         44     32.8485     16.9199 -6.309228e+02
   5%     2           4-5          6-6          91         60    157.1283     81.5081 -1.377759e+04
   5%     5           7-8          9-9          96         56    443.3551    182.9137 -8.285059e+04
   5%    12         14-15        16-16         128         68 368025.0542 184139.7292 -7.469355e+10
Arquivos .txt salvos em: c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\lr_wf_fold_results\united_states_grand_prix\wf_geral

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) | APENAS 2025 ---
Ano avaliado: 2025 | Voltas consideradas: 54 (3-56) | Treino: todos os anos (exceto a janela de teste de 2025 em cada fold)
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     50      0.3434  [0.3148, 0.372]     0.2735 [0.2532, 0.2939]    0.6437 [0.5441, 0.7433]
  10%     5     48      0.3376 [0.3106, 0.3646]     0.2686 [0.2498, 0.2874]    0.6466 [0.5431, 0.7501]
  12%     6     48      0.3415 [0.3191, 0.3639]     0.2686 [0.2524, 0.2849]    0.6740 [0.5985, 0.7496]
  15%     8     47      0.3376 [0.3161, 0.3591]     0.2638 [0.2503, 0.2774]    0.7021  [0.6492, 0.755]
  20%    11     44      0.3352 [0.3159, 0.3544]     0.2602 [0.2487, 0.2717]    0.7144 [0.6693, 0.7596]
  25%    14     41      0.3386 [0.3183, 0.3588]     0.2627 [0.2508, 0.2747]    0.7068 [0.6592, 0.7545]
  30%    16     39      0.3416 [0.3223, 0.3608]     0.2632 [0.2521, 0.2744]    0.7062  [0.6595, 0.753]
  35%    19     36      0.3442 [0.3236, 0.3648]     0.2646 [0.2527, 0.2766]    0.7007 [0.6504, 0.7509]
  40%    22     33      0.3467 [0.3264, 0.3671]     0.2652 [0.2536, 0.2768]    0.7029  [0.655, 0.7508]
  60%    32     23      0.3273 [0.3123, 0.3422]     0.2613 [0.2483, 0.2743]    0.7634 [0.7531, 0.7738]

--- TODOS OS FOLDS (WF 2025) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Teste_2025  Train_Regs_Total  Train_Regs_2022_2024  Train_Regs_2025_Passado  Test_Regs_2025   RMSE    MAE      R2
  10%    17             25-25              2541                  2215                      326              18 0.2150 0.1915  0.8942
   5%    19             25-25              2541                  2215                      326              18 0.2150 0.1915  0.8942
   5%    33             39-39              2741                  2215                      526              18 0.2221 0.1609  0.8622
  10%    31             39-39              2741                  2215                      526              18 0.2221 0.1609  0.8622
  10%    34             42-42              2795                  2215                      580              18 0.2311 0.1848  0.7936
   5%    36             42-42              2795                  2215                      580              18 0.2311 0.1848  0.7936
   5%     8             14-14              2353                  2215                      138              18 0.2472 0.1812  0.8597
  10%     6             14-14              2353                  2215                      138              18 0.2472 0.1812  0.8597
  15%    30             38-39              2725                  2215                      510              34 0.2498 0.1929  0.8372
  12%    31             38-39              2725                  2215                      510              34 0.2498 0.1929  0.8372
  12%    35             42-43              2795                  2215                      580              37 0.2505 0.1949  0.7767
  15%    34             42-43              2795                  2215                      580              37 0.2505 0.1949  0.7767
  20%    32             42-44              2795                  2215                      580              56 0.2521 0.1952  0.7744
  25%    29             42-44              2795                  2215                      580              56 0.2521 0.1952  0.7744
  12%    18             25-26              2541                  2215                      326              34 0.2530 0.2217  0.8482
  15%    17             25-26              2541                  2215                      326              34 0.2530 0.2217  0.8482
  15%     5             13-14              2335                  2215                      120              36 0.2571 0.1889  0.8570
  12%     6             13-14              2335                  2215                      120              36 0.2571 0.1889  0.8570
  10%    36             44-44              2832                  2215                      617              19 0.2596 0.1989  0.7557
   5%    38             44-44              2832                  2215                      617              19 0.2596 0.1989  0.7557
  15%    35             43-44              2813                  2215                      598              38 0.2629 0.2025  0.7547
  12%    36             43-44              2813                  2215                      598              38 0.2629 0.2025  0.7547
  35%    25             42-45              2795                  2215                      580              75 0.2638 0.2099  0.7935
  30%    28             42-45              2795                  2215                      580              75 0.2638 0.2099  0.7935
  12%    42             49-50              2923                  2215                      708              38 0.2644 0.2267  0.7766
  15%    41             49-50              2923                  2215                      708              38 0.2644 0.2267  0.7766
  25%    12             25-27              2541                  2215                      326              51 0.2646 0.2263  0.8329
  20%    15             25-27              2541                  2215                      326              51 0.2646 0.2263  0.8329
  10%    41             49-49              2923                  2215                      708              19 0.2653 0.2408  0.7316
   5%    43             49-49              2923                  2215                      708              19 0.2653 0.2408  0.7316
  10%    42             50-50              2942                  2215                      727              19 0.2672 0.2155  0.8007
   5%    44             50-50              2942                  2215                      727              19 0.2672 0.2155  0.8007
   5%    37             43-43              2813                  2215                      598              19 0.2697 0.2065  0.7469
  10%    35             43-43              2813                  2215                      598              19 0.2697 0.2065  0.7469
  40%    23             42-46              2795                  2215                      580              92 0.2710 0.2140  0.7830
   5%    10             16-16              2387                  2215                      172              18 0.2716 0.2032  0.7611
  10%     8             16-16              2387                  2215                      172              18 0.2716 0.2032  0.7611
  20%    27             37-39              2708                  2215                      493              51 0.2738 0.2067  0.8221
  25%    24             37-39              2708                  2215                      493              51 0.2738 0.2067  0.8221
  15%    31             39-40              2741                  2215                      526              36 0.2741 0.2114  0.7998
  12%    32             39-40              2741                  2215                      526              36 0.2741 0.2114  0.7998
  20%    33             43-45              2813                  2215                      598              57 0.2747 0.2206  0.7846
  25%    30             43-45              2813                  2215                      598              57 0.2747 0.2206  0.7846
  20%     2             12-14              2317                  2215                      102              54 0.2763 0.2142  0.8402
  20%    28             38-40              2725                  2215                      510              52 0.2774 0.2177  0.7996
  25%    25             38-40              2725                  2215                      510              52 0.2774 0.2177  0.7996
  30%    27             41-44              2777                  2215                      562              74 0.2785 0.2176  0.7494
  35%    24             41-44              2777                  2215                      562              74 0.2785 0.2176  0.7494
  15%    36             44-45              2832                  2215                      617              38 0.2786 0.2274  0.7958
  12%    37             44-45              2832                  2215                      617              38 0.2786 0.2274  0.7958
  10%    10             18-18              2423                  2215                      208              18 0.2786 0.2538  0.8157
   5%    12             18-18              2423                  2215                      208              18 0.2786 0.2538  0.8157
  30%    29             43-46              2813                  2215                      598              74 0.2810 0.2233  0.7687
  35%    26             43-46              2813                  2215                      598              74 0.2810 0.2233  0.7687
  10%    30             38-38              2725                  2215                      510              16 0.2817 0.2355  0.7986
   5%    32             38-38              2725                  2215                      510              16 0.2817 0.2355  0.7986
  40%    20             39-43              2741                  2215                      526              91 0.2824 0.2220  0.7826
  10%     5             13-13              2335                  2215                      120              18 0.2826 0.2093  0.8358
   5%     7             13-13              2335                  2215                      120              18 0.2826 0.2093  0.8358
  60%    11             38-44              2725                  2215                      510             126 0.2827 0.2212  0.7764
  40%    22             41-45              2777                  2215                      562              93 0.2830 0.2250  0.7704
  60%    12             39-45              2741                  2215                      526             129 0.2832 0.2238  0.7837
  20%    31             41-43              2777                  2215                      562              55 0.2838 0.2243  0.7470
  25%    28             41-43              2777                  2215                      562              55 0.2838 0.2243  0.7470
  25%     1             14-16              2353                  2215                      138              52 0.2839 0.2256  0.7762
  20%     4             14-16              2353                  2215                      138              52 0.2839 0.2256  0.7762
  25%    31             44-46              2832                  2215                      617              55 0.2851 0.2285  0.7703
  20%    34             44-46              2832                  2215                      617              55 0.2851 0.2285  0.7703
   5%    21             27-27              2575                  2215                      360              17 0.2858 0.2327  0.8021
  10%    19             27-27              2575                  2215                      360              17 0.2858 0.2327  0.8021
  12%    19             26-27              2559                  2215                      344              33 0.2862 0.2425  0.7996
  15%    18             26-27              2559                  2215                      344              33 0.2862 0.2425  0.7996
  15%     6             14-15              2353                  2215                      138              34 0.2863 0.2333  0.7873
  12%     7             14-15              2353                  2215                      138              34 0.2863 0.2333  0.7873
  60%    15             42-48              2795                  2215                      580             128 0.2866 0.2274  0.7935
  20%     3             13-15              2335                  2215                      120              52 0.2867 0.2267  0.8090
  35%    20             37-40              2708                  2215                      493              69 0.2872 0.2217  0.7997
  30%    23             37-40              2708                  2215                      493              69 0.2872 0.2217  0.7997
   5%    15             21-21              2477                  2215                      262              16 0.2873 0.2379  0.7006
  40%    24             43-47              2813                  2215                      598              92 0.2873 0.2252  0.7812
  10%    13             21-21              2477                  2215                      262              16 0.2873 0.2379  0.7006
  30%    22             36-39              2692                  2215                      477              67 0.2878 0.2180  0.8031
  35%    19             36-39              2692                  2215                      477              67 0.2878 0.2180  0.8031
  30%    25             39-42              2741                  2215                      526              72 0.2883 0.2274  0.7851
   5%    20             26-26              2559                  2215                      344              16 0.2883 0.2534  0.7919
  35%    22             39-42              2741                  2215                      526              72 0.2883 0.2274  0.7851
  10%    18             26-26              2559                  2215                      344              16 0.2883 0.2534  0.7919
  60%    14             41-47              2777                  2215                      562             128 0.2888 0.2260  0.7804
  60%    16             43-49              2813                  2215                      598             129 0.2899 0.2354  0.7812
  60%    10             37-43              2708                  2215                      493             124 0.2901 0.2267  0.7835
  25%    35             48-50              2905                  2215                      690              56 0.2903 0.2484  0.7832
  20%    38             48-50              2905                  2215                      690              56 0.2903 0.2484  0.7832
  60%    17             44-50              2832                  2215                      617             129 0.2910 0.2366  0.7840
  40%    19             38-42              2725                  2215                      510              88 0.2910 0.2308  0.7822
  30%    11             25-28              2541                  2215                      326              67 0.2915 0.2336  0.8114
  35%     8             25-28              2541                  2215                      326              67 0.2915 0.2336  0.8114
  35%    27             44-47              2832                  2215                      617              73 0.2920 0.2293  0.7829
  30%    30             44-47              2832                  2215                      617              73 0.2920 0.2293  0.7829
  40%    21             40-44              2759                  2215                      544              92 0.2933 0.2317  0.7417
  35%    30             47-50              2887                  2215                      672              74 0.2939 0.2425  0.7945
  30%    33             47-50              2887                  2215                      672              74 0.2939 0.2425  0.7945
  60%    13             40-46              2759                  2215                      544             128 0.2940 0.2347  0.7581
  40%    27             46-50              2870                  2215                      655              91 0.2942 0.2400  0.7787
  10%    37             45-45              2851                  2215                      636              19 0.2947 0.2538  0.8191
   5%    39             45-45              2851                  2215                      636              19 0.2947 0.2538  0.8191
  30%     1             15-18              2371                  2215                      156              70 0.2948 0.2428  0.7790
  15%    33             41-42              2777                  2215                      562              36 0.2961 0.2371  0.7340
  12%    34             41-42              2777                  2215                      562              36 0.2961 0.2371  0.7340
  20%     6             16-18              2387                  2215                      172              54 0.2970 0.2406  0.7827
  25%     3             16-18              2387                  2215                      172              54 0.2970 0.2406  0.7827
  12%    38             45-46              2851                  2215                      636              36 0.2972 0.2440  0.7679
  15%    37             45-46              2851                  2215                      636              36 0.2972 0.2440  0.7679
  15%     8             16-17              2387                  2215                      172              36 0.2976 0.2258  0.7559
  12%     9             16-17              2387                  2215                      172              36 0.2976 0.2258  0.7559
  40%    17             36-40              2692                  2215                      477              85 0.2979 0.2296  0.7851
  40%     6             25-29              2541                  2215                      326              82 0.2982 0.2371  0.7948
  15%     7             15-16              2371                  2215                      156              34 0.2983 0.2445  0.6997
  12%     8             15-16              2371                  2215                      156              34 0.2983 0.2445  0.6997
  40%    26             45-49              2851                  2215                      636              91 0.2993 0.2485  0.7834
  35%    23             40-43              2759                  2215                      544              73 0.2996 0.2399  0.7417
  30%    26             40-43              2759                  2215                      544              73 0.2996 0.2399  0.7417
  12%    41             48-49              2905                  2215                      690              37 0.2997 0.2654  0.7757
  15%    40             48-49              2905                  2215                      690              37 0.2997 0.2654  0.7757
  12%    30             37-38              2708                  2215                      493              33 0.3004 0.2339  0.7969
  15%    29             37-38              2708                  2215                      493              33 0.3004 0.2339  0.7969
  30%    32             46-49              2870                  2215                      655              72 0.3007 0.2473  0.7694
  35%    29             46-49              2870                  2215                      655              72 0.3007 0.2473  0.7694
  25%    34             47-49              2887                  2215                      672              55 0.3008 0.2516  0.7921
  20%    37             47-49              2887                  2215                      672              55 0.3008 0.2516  0.7921
  40%    25             44-48              2832                  2215                      617              91 0.3009 0.2417  0.7860
  20%    35             45-47              2851                  2215                      636              54 0.3016 0.2397  0.7830
  25%    32             45-47              2851                  2215                      636              54 0.3016 0.2397  0.7830
  10%    38             46-46              2870                  2215                      655              17 0.3019 0.2333  0.6179
   5%    40             46-46              2870                  2215                      655              17 0.3019 0.2333  0.6179
  20%     5             15-17              2371                  2215                      156              52 0.3020 0.2403  0.7358
  25%     2             15-17              2371                  2215                      156              52 0.3020 0.2403  0.7358
  30%    24             38-41              2725                  2215                      510              70 0.3021 0.2391  0.7731
  35%    21             38-41              2725                  2215                      510              70 0.3021 0.2391  0.7731
   5%    47             53-53              2997                  2215                      782              19 0.3024 0.2449  0.8652
  10%    45             53-53              2997                  2215                      782              19 0.3024 0.2449  0.8652
  20%     1             11-13              2298                  2215                       83              55 0.3025 0.2377  0.8054
  15%     4             12-13              2317                  2215                      102              36 0.3027 0.2397  0.8149
  12%     5             12-13              2317                  2215                      102              36 0.3027 0.2397  0.8149
  12%    14             21-22              2477                  2215                      262              33 0.3027 0.2343  0.6386
  15%    13             21-22              2477                  2215                      262              33 0.3027 0.2343  0.6386
  25%    26             39-41              2741                  2215                      526              54 0.3028 0.2377  0.7733
  20%    29             39-41              2741                  2215                      526              54 0.3028 0.2377  0.7733
  15%    38             46-47              2870                  2215                      655              35 0.3037 0.2299  0.7492
  12%    39             46-47              2870                  2215                      655              35 0.3037 0.2299  0.7492
   5%    41             47-47              2887                  2215                      672              18 0.3045 0.2254  0.8105
  10%    39             47-47              2887                  2215                      672              18 0.3045 0.2254  0.8105
  25%    36             49-51              2923                  2215                      708              56 0.3050 0.2492  0.7416
  20%    39             49-51              2923                  2215                      708              56 0.3050 0.2492  0.7416
  40%    18             37-41              2708                  2215                      493              87 0.3053 0.2385  0.7779
  60%    18             45-51              2851                  2215                      636             128 0.3065 0.2500  0.7746
  60%     9             36-42              2692                  2215                      477             121 0.3068 0.2407  0.7685
  12%    10             17-18              2405                  2215                      190              36 0.3075 0.2568  0.7738
  15%     9             17-18              2405                  2215                      190              36 0.3075 0.2568  0.7738
  30%    31             45-48              2851                  2215                      636              72 0.3093 0.2522  0.7885
  35%    28             45-48              2851                  2215                      636              72 0.3093 0.2522  0.7885
  10%    14             22-22              2493                  2215                      278              17 0.3102 0.2273  0.5843
   5%    16             22-22              2493                  2215                      278              17 0.3102 0.2273  0.5843
  30%     2             16-19              2387                  2215                      172              73 0.3106 0.2398  0.7812
  25%    23             36-38              2692                  2215                      477              49 0.3110 0.2435  0.7770
  20%    26             36-38              2692                  2215                      477              49 0.3110 0.2435  0.7770
  40%    28             47-51              2887                  2215                      672              92 0.3112 0.2530  0.7745
  60%    19             46-52              2870                  2215                      655             127 0.3127 0.2496  0.7680
  20%    36             46-48              2870                  2215                      655              53 0.3128 0.2499  0.7749
  25%    33             46-48              2870                  2215                      655              53 0.3128 0.2499  0.7749
  25%    27             40-42              2759                  2215                      544              54 0.3130 0.2535  0.7343
  20%    30             40-42              2759                  2215                      544              54 0.3130 0.2535  0.7343
  30%    34             48-51              2905                  2215                      690              74 0.3133 0.2601  0.7584
  35%    31             48-51              2905                  2215                      690              74 0.3133 0.2601  0.7584
  25%    13             26-28              2559                  2215                      344              49 0.3134 0.2470  0.7843
  20%    16             26-28              2559                  2215                      344              49 0.3134 0.2470  0.7843
  35%     1             18-21              2423                  2215                      208              70 0.3134 0.2500  0.7611
  40%    30             49-53              2923                  2215                      708              93 0.3134 0.2502  0.7849
  30%     4             18-21              2423                  2215                      208              70 0.3134 0.2500  0.7611
  35%    32             49-52              2923                  2215                      708              74 0.3142 0.2504  0.7528
  30%    35             49-52              2923                  2215                      708              74 0.3142 0.2504  0.7528
  60%    20             47-53              2887                  2215                      672             129 0.3149 0.2523  0.7930
  15%     3             11-12              2298                  2215                       83              37 0.3150 0.2542  0.7844
  10%    22             30-30              2623                  2215                      408              10 0.3150 0.2638  0.6663
  12%     4             11-12              2298                  2215                       83              37 0.3150 0.2542  0.7844
   5%    24             30-30              2623                  2215                      408              10 0.3150 0.2638  0.6663
  15%    12             20-21              2460                  2215                      245              33 0.3159 0.2636  0.6793
  12%    13             20-21              2460                  2215                      245              33 0.3159 0.2636  0.6793
   5%     1               5-5              2246                  2215                       31              20 0.3160 0.2772  0.6857
   5%    31             37-37              2708                  2215                      493              17 0.3163 0.2309  0.7966
  10%    29             37-37              2708                  2215                      493              17 0.3163 0.2309  0.7966
  30%    12             26-29              2559                  2215                      344              64 0.3168 0.2486  0.7668
  20%    10             20-22              2460                  2215                      245              50 0.3168 0.2540  0.6466
  35%     9             26-29              2559                  2215                      344              64 0.3168 0.2486  0.7668
  25%     7             20-22              2460                  2215                      245              50 0.3168 0.2540  0.6466
   5%     6             12-12              2317                  2215                      102              18 0.3172 0.2818  0.7991
  10%     4             12-12              2317                  2215                      102              18 0.3172 0.2818  0.7991
  40%     7             26-30              2559                  2215                      344              74 0.3176 0.2509  0.7620
  40%    29             48-52              2905                  2215                      690              92 0.3184 0.2586  0.7635
   5%     5             11-11              2298                  2215                       83              19 0.3186 0.2398  0.7591
  10%     3             11-11              2298                  2215                       83              19 0.3186 0.2398  0.7591
  12%    11             18-19              2423                  2215                      208              37 0.3198 0.2474  0.7952
  15%    10             18-19              2423                  2215                      208              37 0.3198 0.2474  0.7952
  12%    40             47-48              2887                  2215                      672              36 0.3199 0.2590  0.8046
  15%    39             47-48              2887                  2215                      672              36 0.3199 0.2590  0.8046
  15%    21             29-30              2608                  2215                      393              25 0.3200 0.2514  0.6500
  12%    22             29-30              2608                  2215                      393              25 0.3200 0.2514  0.6500
  12%    29             36-37              2692                  2215                      477              33 0.3214 0.2465  0.7719
  15%    28             36-37              2692                  2215                      477              33 0.3214 0.2465  0.7719
  15%    44             52-53              2979                  2215                      764              37 0.3216 0.2498  0.8280
  12%    45             52-53              2979                  2215                      764              37 0.3216 0.2498  0.8280
  25%     8             21-23              2477                  2215                      262              48 0.3216 0.2523  0.6449
  20%    11             21-23              2477                  2215                      262              48 0.3216 0.2523  0.6449
  40%    16             35-39              2678                  2215                      463              81 0.3217 0.2525  0.8085
  25%     5             18-20              2423                  2215                      208              54 0.3223 0.2548  0.7687
  20%     8             18-20              2423                  2215                      208              54 0.3223 0.2548  0.7687
  20%     7             17-19              2405                  2215                      190              55 0.3228 0.2503  0.7762
  25%     4             17-19              2405                  2215                      190              55 0.3228 0.2503  0.7762
   5%    11             17-17              2405                  2215                      190              18 0.3228 0.2479  0.7341
  10%     9             17-17              2405                  2215                      190              18 0.3228 0.2479  0.7341
   5%    34             40-40              2759                  2215                      544              18 0.3231 0.2644  0.7282
  10%    32             40-40              2759                  2215                      544              18 0.3231 0.2644  0.7282
  30%    15             29-32              2608                  2215                      393              48 0.3234 0.2680  0.7111
  35%    12             29-32              2608                  2215                      393              48 0.3234 0.2680  0.7111
  12%    43             50-51              2942                  2215                      727              37 0.3239 0.2545  0.7420
  15%    42             50-51              2942                  2215                      727              37 0.3239 0.2545  0.7420
  30%     3             17-20              2405                  2215                      190              72 0.3244 0.2566  0.7587
  12%    20             27-28              2575                  2215                      360              33 0.3245 0.2423  0.7763
  15%    19             27-28              2575                  2215                      360              33 0.3245 0.2423  0.7763
  20%    19             29-31              2608                  2215                      393              37 0.3247 0.2705  0.7003
  25%    16             29-31              2608                  2215                      393              37 0.3247 0.2705  0.7003
  35%    33             50-53              2942                  2215                      727              74 0.3249 0.2536  0.7914
  30%    36             50-53              2942                  2215                      727              74 0.3249 0.2536  0.7914
  35%    10             27-30              2575                  2215                      360              58 0.3256 0.2502  0.7420
  30%    13             27-30              2575                  2215                      360              58 0.3256 0.2502  0.7420
  25%    17             30-32              2623                  2215                      408              33 0.3260 0.2817  0.7194
  20%    20             30-32              2623                  2215                      408              33 0.3260 0.2817  0.7194
  20%    17             27-29              2575                  2215                      360              48 0.3261 0.2471  0.7492
  25%    14             27-29              2575                  2215                      360              48 0.3261 0.2471  0.7492
   5%    23             29-29              2608                  2215                      393              15 0.3263 0.2485  0.6276
  10%    21             29-29              2608                  2215                      393              15 0.3263 0.2485  0.6276
  10%    28             36-36              2692                  2215                      477              16 0.3264 0.2595  0.7404
   5%    30             36-36              2692                  2215                      477              16 0.3264 0.2595  0.7404
  35%     2             19-22              2441                  2215                      226              69 0.3273 0.2480  0.6987
  30%     5             19-22              2441                  2215                      226              69 0.3273 0.2480  0.6987
  35%     3             20-23              2460                  2215                      245              65 0.3277 0.2627  0.6467
  30%     6             20-23              2460                  2215                      245              65 0.3277 0.2627  0.6467
  12%    23             30-31              2623                  2215                      408              22 0.3280 0.2920  0.7175
  15%    22             30-31              2623                  2215                      408              22 0.3280 0.2920  0.7175
   5%     9             15-15              2371                  2215                      156              16 0.3281 0.2950  0.6138
  10%     7             15-15              2371                  2215                      156              16 0.3281 0.2950  0.6138
  20%    40             50-52              2942                  2215                      727              55 0.3297 0.2549  0.7561
  25%    37             50-52              2942                  2215                      727              55 0.3297 0.2549  0.7561
  12%    24             31-32              2633                  2215                      418              23 0.3299 0.2910  0.7286
  15%    23             31-32              2633                  2215                      418              23 0.3299 0.2910  0.7286
  40%     8             27-31              2575                  2215                      360              70 0.3309 0.2628  0.7494
  25%     6             19-21              2441                  2215                      226              52 0.3318 0.2555  0.7219
  20%     9             19-21              2441                  2215                      226              52 0.3318 0.2555  0.7219
  40%     9             28-32              2592                  2215                      377              64 0.3340 0.2634  0.7312
   5%    42             48-48              2905                  2215                      690              18 0.3343 0.2926  0.7955
  10%    40             48-48              2905                  2215                      690              18 0.3343 0.2926  0.7955
   5%    25             31-31              2633                  2215                      418              12 0.3345 0.3118  0.7421
  10%    23             31-31              2633                  2215                      418              12 0.3345 0.3118  0.7421
  60%     7             34-40              2667                  2215                      452             110 0.3353 0.2667  0.7726
  25%    15             28-30              2592                  2215                      377              41 0.3359 0.2518  0.7067
  20%    18             28-30              2592                  2215                      377              41 0.3359 0.2518  0.7067
   5%    26             32-32              2645                  2215                      430              11 0.3361 0.2811  0.6902
  10%    24             32-32              2645                  2215                      430              11 0.3361 0.2811  0.6902
  12%    15             22-23              2493                  2215                      278              32 0.3361 0.2590  0.6126
  15%    14             22-23              2493                  2215                      278              32 0.3361 0.2590  0.6126
