Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  60%     4          6-30        31-37        1369        396      0.3314      0.2640  9.582000e-01
  40%     9         11-27        28-32         924        291      0.3316      0.2624  9.523000e-01
  35%    22         24-38        39-42         838        237      0.3317      0.2595  9.548000e-01
  60%     3          5-29        30-36        1356        394      0.3318      0.2646  9.566000e-01
  60%     9         11-35        36-42        1377        411      0.3324      0.2610  9.564000e-01
  20%    36         38-45        46-48         493        193      0.3325      0.2637  9.540000e-01
  30%    25         27-38        39-42         685        237      0.3330      0.2606  9.544000e-01
  25%    33         35-45        46-48         660        193      0.3330      0.2634  9.539000e-01
  40%    18         20-36        37-41         902        294      0.3331      0.2645  9.556000e-01
  20%    32         34-41        42-44         455        195      0.3333      0.2592  9.547000e-01
  35%    13         15-29        30-33         789        233      0.3335      0.2670  9.525000e-01
  20%     8         10-17        18-20         503        134      0.3337      0.2690  9.202000e-01
  30%    30         32-43        44-47         700        256      0.3340      0.2624  9.559000e-01
  35%    31         33-47        48-51         896        260      0.3340      0.2638  9.503000e-01
  20%    26         28-35        36-38         453        174      0.3342      0.2590  9.578000e-01
  40%    25         27-43        44-48         989        322      0.3342      0.2660  9.549000e-01
  40%    10         12-28        29-33         923        291      0.3343      0.2666  9.515000e-01
  20%    25         27-34        35-37         458        167      0.3344      0.2700  9.586000e-01
  40%    28         30-46        47-51        1010        323      0.3348      0.2615  9.512000e-01
  35%    21         23-37        38-41         826        235      0.3350      0.2646  9.538000e-01
  60%     7          9-33        34-40        1389        397      0.3353      0.2710  9.566000e-01
  35%    27         29-43        44-47         875        256      0.3354      0.2626  9.555000e-01
  40%    19         21-37        38-42         916        297      0.3354      0.2650  9.538000e-01
  12%    40         42-45        46-47         258        127      0.3357      0.2606  9.545000e-01
  15%    36         38-43        44-45         364        129      0.3358      0.2655  9.563000e-01
  20%     5          7-14        15-17         463        192      0.3358      0.2709  9.417000e-01
  25%     3          5-15        16-18         630        173      0.3363      0.2647  9.455000e-01
  25%    36         38-48        49-51         686        194      0.3371      0.2521  9.492000e-01
  35%     1          3-17        18-21         851        178      0.3376      0.2698  9.169000e-01
  30%    34         36-47        48-51         734        260      0.3377      0.2665  9.491000e-01
  60%    14         16-40        41-47        1356        443      0.3379      0.2629  9.538000e-01
  15%    30         32-37        38-39         336        119      0.3382      0.2711  9.534000e-01
  25%     5          7-17        18-20         655        134      0.3383      0.2730  9.180000e-01
  60%    13         15-39        40-46        1361        438      0.3387      0.2652  9.533000e-01
  60%     6          8-32        33-39        1384        395      0.3388      0.2714  9.565000e-01
  40%    21         23-39        40-44         945        311      0.3391      0.2645  9.528000e-01
  25%     2          4-14        15-17         614        192      0.3394      0.2717  9.404000e-01
  15%    31         33-38        39-40         336        117      0.3395      0.2630  9.522000e-01
  60%    18         20-44        45-51        1391        450      0.3396      0.2661  9.510000e-01
  10%    40         42-45        46-46         258         64      0.3403      0.2527  9.528000e-01
  60%     2          4-28        29-35        1345        397      0.3403      0.2684  9.521000e-01
  35%    28         30-44        45-48         883        256      0.3410      0.2723  9.523000e-01
  15%     8         10-15        16-17         374        129      0.3416      0.2754  9.424000e-01
  20%    35         37-44        45-47         489        190      0.3421      0.2702  9.531000e-01
  25%    15         17-27        28-30         544        171      0.3421      0.2718  9.486000e-01
  30%    24         26-37        38-41         677        235      0.3426      0.2707  9.516000e-01
  30%    31         33-44        45-48         706        256      0.3427      0.2731  9.518000e-01
  30%     2          4-15        16-19         677        218      0.3430      0.2654  9.414000e-01
  20%    18         20-27        28-30         394        171      0.3434      0.2701  9.482000e-01
  15%    38         40-45        46-47         374        127      0.3437      0.2692  9.523000e-01
  40%    22         24-40        41-45         955        316      0.3446      0.2716  9.518000e-01
  20%    27         29-36        37-39         452        178      0.3452      0.2727  9.536000e-01
  10%    41         43-46        47-47         260         63      0.3458      0.2578  9.522000e-01
  10%    33         35-38        39-39         227         59      0.3461      0.2546  9.507000e-01
  25%    26         28-38        39-41         627        175      0.3465      0.2719  9.504000e-01
  40%    11         13-29        30-34         919        286      0.3465      0.2765  9.497000e-01
  15%    35         37-42        43-44         356        133      0.3467      0.2742  9.507000e-01
  12%    42         44-47        48-49         256        131      0.3468      0.2752  9.476000e-01
  35%    24         26-40        41-44         854        253      0.3468      0.2710  9.508000e-01
  40%    29         31-47        48-52        1016        320      0.3468      0.2696  9.470000e-01
  20%    20         22-29        30-32         419        177      0.3469      0.2760  9.479000e-01
  60%     5          7-31        32-38        1369        396      0.3469      0.2803  9.542000e-01
  40%    14         16-32        33-37         903        276      0.3470      0.2804  9.547000e-01
  20%    33         35-42        43-45         464        196      0.3471      0.2722  9.512000e-01
  30%    27         29-40        41-44         688        253      0.3474      0.2683  9.506000e-01
  10%     6          8-11        12-12         226         62      0.3475      0.2662  9.416000e-01
  40%     8         10-26        27-31         928        289      0.3482      0.2745  9.482000e-01
  20%    39         41-48        49-51         509        194      0.3482      0.2579  9.458000e-01
  60%    19         21-45        46-52        1409        447      0.3484      0.2674  9.479000e-01
  35%    23         25-39        40-43         846        245      0.3489      0.2736  9.490000e-01
  15%    22         24-29        30-31         325        117      0.3496      0.2799  9.474000e-01
  10%    31         33-36        37-37         217         59      0.3499      0.2707  9.553000e-01
  15%    37         39-44        45-46         370        127      0.3499      0.2755  9.509000e-01
  10%    47         49-52        53-53         254         60      0.3500      0.2897  9.520000e-01
  60%     1          3-27        28-34        1334        400      0.3501      0.2736  9.482000e-01
