Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 02:33:55.795000,GAS,10,0 days 00:01:23.294000,69.0,2.0,,,0 days 00:00:29.796000,0 days 00:00:29.972000,0 days 00:00:23.526000,0 days 02:33:02.325000,0 days 02:33:32.297000,0 days 02:33:55.823000,279.0,242.0,249.0,291.0,False,MEDIUM,37.0,True,Alpine,0 days 02:32:32.501000,2025-08-03 14:37:50.595,1,17.0,False,,False,True,83.294,C4,2025,82.663,22.4,56.0,987.2,False,31.8,208.0,1.8,9.400000000000002,0.6310000000000002,0.9910403787728836,0.9048374180359595,0.9910403787728796,0.999000499833375,4.225900081722456e-132,0.952181129698505
0 days 02:33:56.394000,TSU,22,0 days 00:01:23.201000,69.0,3.0,,,0 days 00:00:29.445000,0 days 00:00:30.140000,0 days 00:00:23.616000,0 days 02:33:02.661000,0 days 02:33:32.801000,0 days 02:33:56.417000,287.0,244.0,253.0,310.0,False,HARD,32.0,True,Red Bull Racing,0 days 02:32:33.193000,2025-08-03 14:37:51.287,1,18.0,False,,False,True,83.201,C3,2025,82.609,22.4,56.0,987.2,False,31.8,208.0,1.8,9.400000000000002,0.5919999999999987,0.9910403787728836,0.9048374180359595,0.9910403787728796,0.999000499833375,4.225900081722456e-132,0.952181129698505
0 days 02:33:56.821000,COL,43,0 days 00:01:22.834000,69.0,3.0,,,0 days 00:00:29.308000,0 days 00:00:30.050000,0 days 00:00:23.476000,0 days 02:33:03.351000,0 days 02:33:33.401000,0 days 02:33:56.877000,283.0,243.0,254.0,307.0,False,HARD,34.0,True,Alpine,0 days 02:32:33.987000,2025-08-03 14:37:52.081,1,19.0,False,,False,True,82.834,C3,2025,82.838,22.4,56.0,987.2,False,31.8,208.0,1.8,9.400000000000002,-0.003999999999990678,0.9910403787728836,0.9048374180359595,0.9910403787728796,0.999000499833375,4.225900081722456e-132,0.952181129698505
0 days 02:33:58.905000,SAR,2,0 days 00:01:24.798000,64.0,3.0,,,0 days 00:00:30.400000,0 days 00:00:30.392000,0 days 00:00:24.006000,0 days 02:33:04.529000,0 days 02:33:34.921000,0 days 02:33:58.927000,282.0,236.0,247.0,295.0,False,HARD,30.0,True,Williams,0 days 02:32:34.107000,2023-07-23 14:33:36.135,1,15.0,False,,False,True,84.798,C3,2023,84.506,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,0.2920000000000016,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
0 days 02:33:59.782000,SAR,2,0 days 00:01:21.843000,69.0,4.0,,,0 days 00:00:29.481000,0 days 00:00:29.175000,0 days 00:00:23.187000,0 days 02:33:07.440000,0 days 02:33:36.615000,0 days 02:33:59.802000,277.0,240.0,250.0,293.0,False,SOFT,6.0,True,Williams,0 days 02:32:37.939000,2024-07-21 14:40:31.552,1,17.0,False,,False,True,81.843,C5,2024,81.789,30.0,43.0,981.6,False,47.6,179.0,1.7,17.6,0.054000000000002046,3.6819261402759586e-11,5.573903692694596e-07,0.0602652274973017,1.0,3.645974014742625e-307,0.0036065631360157305
0 days 02:33:59.879000,HAM,44,0 days 00:01:22.669000,65.0,3.0,,,0 days 00:00:29.962000,0 days 00:00:29.469000,0 days 00:00:23.238000,0 days 02:33:07.190000,0 days 02:33:36.659000,0 days 02:33:59.897000,280.0,239.0,247.0,290.0,False,MEDIUM,19.0,False,Mercedes,0 days 02:32:37.210000,2023-07-23 14:33:39.238,1,4.0,False,,False,True,82.669,C4,2023,82.252,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,0.4170000000000016,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
0 days 02:34:03.008000,ALO,14,0 days 00:01:24.207000,64.0,2.0,,,0 days 00:00:30.265000,0 days 00:00:30.147000,0 days 00:00:23.795000,0 days 02:33:09.109000,0 days 02:33:39.256000,0 days 02:34:03.051000,272.0,239.0,244.0,280.0,False,HARD,43.0,True,Alpine,0 days 02:32:38.801000,2022-07-31 14:33:39.179,1,8.0,False,,False,True,84.207,C2,2022,84.357,18.1,70.0,986.0,True,24.7,287.0,3.4,6.599999999999998,-0.15000000000000568,0.004186040415850657,1.6918979226151304e-10,0.9221936914446118,0.7490122054026693,9.652456261619012e-26,0.29375770032353204
0 days 02:34:04.577000,VER,1,0 days 00:01:22.667000,65.0,3.0,,,0 days 00:00:29.559000,0 days 00:00:29.749000,0 days 00:00:23.359000,0 days 02:33:11.484000,0 days 02:33:41.233000,0 days 02:34:04.592000,276.0,242.0,246.0,284.0,False,MEDIUM,27.0,True,Red Bull Racing,0 days 02:32:41.910000,2022-07-31 14:33:42.288,1,1.0,False,,False,True,82.667,C3,2022,82.978,18.1,70.0,986.0,True,24.7,287.0,3.4,6.599999999999998,-0.31099999999999284,0.004186040415850657,1.6918979226151304e-10,0.9221936914446118,0.7490122054026693,9.652456261619012e-26,0.29375770032353204
0 days 02:34:08.120000,OCO,31,0 days 00:01:23.369000,69.0,4.0,,,0 days 00:00:29.805000,0 days 00:00:29.840000,0 days 00:00:23.724000,0 days 02:33:14.608000,0 days 02:33:44.448000,0 days 02:34:08.172000,276.0,243.0,249.0,311.0,False,SOFT,5.0,True,Alpine,0 days 02:32:44.751000,2024-07-21 14:40:38.364,1,18.0,False,,False,True,83.369,C5,2024,84.133,30.0,43.0,981.6,False,47.6,179.0,1.7,17.6,-0.7639999999999958,3.6819261402759586e-11,5.573903692694596e-07,0.0602652274973017,1.0,3.645974014742625e-307,0.0036065631360157305
0 days 02:34:08.491000,ALO,14,0 days 00:01:20.848000,70.0,2.0,,,0 days 00:00:29.071000,0 days 00:00:28.544000,0 days 00:00:23.233000,0 days 02:33:16.738000,0 days 02:33:45.282000,0 days 02:34:08.515000,280.0,250.0,203.0,290.0,False,HARD,32.0,False,Aston Martin,0 days 02:32:47.643000,2025-08-03 14:38:05.737,1,5.0,False,,False,True,80.848,C3,2025,80.368,22.4,56.0,987.2,False,31.8,208.0,1.8,9.400000000000002,0.480000000000004,0.9910403787728836,0.9048374180359595,0.9910403787728796,0.999000499833375,4.225900081722456e-132,0.952181129698505
0 days 02:34:08.882000,OCO,31,0 days 00:01:24.508000,64.0,2.0,,,0 days 00:00:30.248000,0 days 00:00:30.342000,0 days 00:00:23.918000,0 days 02:33:14.664000,0 days 02:33:45.006000,0 days 02:34:08.924000,275.0,237.0,244.0,282.0,False,HARD,41.0,True,Alpine,0 days 02:32:44.374000,2022-07-31 14:33:44.752,1,9.0,False,,False,True,84.508,C2,2022,84.413,18.1,69.0,986.0,True,24.7,274.0,3.7,6.599999999999998,0.09499999999999886,0.004186040415850657,3.074879879586606e-09,0.9221936914446118,0.6703200460356393,5.559513241650137e-06,0.29375770032353204
0 days 02:34:09.397000,ZHO,24,0 days 00:01:24.795000,64.0,3.0,,,0 days 00:00:30.517000,0 days 00:00:30.580000,0 days 00:00:23.698000,0 days 02:33:15.131000,0 days 02:33:45.711000,0 days 02:34:09.409000,278.0,241.0,248.0,289.0,False,HARD,31.0,False,Kick Sauber,0 days 02:32:44.602000,2023-07-23 14:33:46.630,1,17.0,False,,False,True,84.795,C3,2023,84.487,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,0.30800000000000693,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
0 days 02:34:13.624000,PIA,81,0 days 00:01:23.991000,65.0,3.0,,,0 days 00:00:30.375000,0 days 00:00:29.902000,0 days 00:00:23.714000,0 days 02:33:20.028000,0 days 02:33:49.930000,0 days 02:34:13.644000,281.0,245.0,248.0,292.0,False,MEDIUM,26.0,False,McLaren,0 days 02:32:49.633000,2023-07-23 14:33:51.661,1,5.0,False,,False,True,83.991,C4,2023,83.815,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,0.17600000000000193,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
0 days 02:34:15.571000,HAM,44,0 days 00:01:22.438000,65.0,3.0,,,0 days 00:00:29.270000,0 days 00:00:29.862000,0 days 00:00:23.306000,0 days 02:33:22.443000,0 days 02:33:52.305000,0 days 02:34:15.611000,273.0,239.0,250.0,305.0,False,SOFT,16.0,False,Mercedes,0 days 02:32:53.133000,2022-07-31 14:33:53.511,1,2.0,False,,False,True,82.438,C4,2022,83.394,18.1,69.0,986.0,True,24.7,274.0,3.7,6.599999999999998,-0.9560000000000031,0.004186040415850657,3.074879879586606e-09,0.9221936914446118,0.6703200460356393,5.559513241650137e-06,0.29375770032353204
0 days 02:34:15.620000,BOR,5,0 days 00:01:21.722000,70.0,2.0,,,0 days 00:00:29.286000,0 days 00:00:29.069000,0 days 00:00:23.367000,0 days 02:33:23.215000,0 days 02:33:52.284000,0 days 02:34:15.651000,276.0,242.0,246.0,287.0,False,HARD,30.0,True,Kick Sauber,0 days 02:32:53.898000,2025-08-03 14:38:11.992,1,6.0,False,,False,True,81.722,C3,2025,81.177,22.4,56.0,987.2,False,31.8,208.0,1.8,9.400000000000002,0.5449999999999875,0.9910403787728836,0.9048374180359595,0.9910403787728796,0.999000499833375,4.225900081722456e-132,0.952181129698505
0 days 02:34:17.093000,RUS,63,0 days 00:01:24.431000,65.0,3.0,,,0 days 00:00:30.443000,0 days 00:00:30.389000,0 days 00:00:23.599000,0 days 02:33:23.121000,0 days 02:33:53.510000,0 days 02:34:17.109000,279.0,239.0,247.0,285.0,False,MEDIUM,26.0,True,Mercedes,0 days 02:32:52.662000,2022-07-31 14:33:53.040,1,3.0,False,,False,True,84.431,C3,2022,83.631,18.1,69.0,986.0,True,24.7,274.0,3.7,6.599999999999998,0.7999999999999972,0.004186040415850657,3.074879879586606e-09,0.9221936914446118,0.6703200460356393,5.559513241650137e-06,0.29375770032353204
0 days 02:34:17.625000,STR,18,0 days 00:01:21.670000,70.0,2.0,,,0 days 00:00:29.372000,0 days 00:00:29.056000,0 days 00:00:23.242000,0 days 02:33:25.354000,0 days 02:33:54.410000,0 days 02:34:17.652000,283.0,245.0,249.0,291.0,False,HARD,35.0,False,Aston Martin,0 days 02:32:55.955000,2025-08-03 14:38:14.049,1,7.0,False,,False,True,81.67,C3,2025,81.294,22.4,56.0,987.2,False,32.0,257.0,1.4,9.600000000000001,0.3760000000000048,0.9990004998333749,0.9048374180359595,0.9910403787728796,0.9910403787728836,0.02732372244729256,0.9753099120283326
0 days 02:34:17.840000,LEC,16,0 days 00:01:23.939000,65.0,3.0,,,0 days 00:00:30.205000,0 days 00:00:29.963000,0 days 00:00:23.771000,0 days 02:33:24.109000,0 days 02:33:54.072000,0 days 02:34:17.843000,281.0,241.0,247.0,293.0,False,HARD,26.0,False,Ferrari,0 days 02:32:53.901000,2023-07-23 14:33:55.929,1,6.0,False,,False,True,83.939,C3,2023,83.977,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,-0.038000000000010914,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
0 days 02:34:18.902000,LAW,30,0 days 00:01:21.440000,70.0,2.0,,,0 days 00:00:29.360000,0 days 00:00:29.125000,0 days 00:00:22.955000,0 days 02:33:26.844000,0 days 02:33:55.969000,0 days 02:34:18.924000,283.0,245.0,248.0,291.0,False,HARD,30.0,True,Racing Bulls,0 days 02:32:57.462000,2025-08-03 14:38:15.556,1,8.0,False,,False,True,81.44,C3,2025,80.91,22.4,56.0,987.2,False,32.0,257.0,1.4,9.600000000000001,0.5300000000000011,0.9990004998333749,0.9048374180359595,0.9910403787728796,0.9910403787728836,0.02732372244729256,0.9753099120283326
0 days 02:34:19.203000,SAI,55,0 days 00:01:23.546000,65.0,3.0,,,0 days 00:00:29.806000,0 days 00:00:30.127000,0 days 00:00:23.613000,0 days 02:33:25.518000,0 days 02:33:55.645000,0 days 02:34:19.258000,277.0,240.0,246.0,284.0,False,SOFT,21.0,False,Ferrari,0 days 02:32:55.657000,2022-07-31 14:33:56.035,1,4.0,False,,False,True,83.546,C4,2022,83.638,18.1,69.0,986.0,True,24.7,274.0,3.7,6.599999999999998,-0.09199999999999875,0.004186040415850657,3.074879879586606e-09,0.9221936914446118,0.6703200460356393,5.559513241650137e-06,0.29375770032353204
0 days 02:34:22.096000,VER,1,0 days 00:01:22.204000,70.0,3.0,,,0 days 00:00:29.424000,0 days 00:00:29.279000,0 days 00:00:23.501000,0 days 02:33:29.328000,0 days 02:33:58.607000,0 days 02:34:22.108000,281.0,250.0,205.0,290.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:32:59.892000,2025-08-03 14:38:17.986,1,9.0,False,,False,True,82.204,C3,2025,81.677,22.4,56.0,987.2,False,32.0,257.0,1.4,9.600000000000001,0.5269999999999868,0.9990004998333749,0.9048374180359595,0.9910403787728796,0.9910403787728836,0.02732372244729256,0.9753099120283326
0 days 02:34:23.160000,RUS,63,0 days 00:01:22.954000,65.0,3.0,,,0 days 00:00:29.800000,0 days 00:00:29.881000,0 days 00:00:23.273000,0 days 02:33:30.015000,0 days 02:33:59.896000,0 days 02:34:23.169000,270.0,242.0,246.0,307.0,False,MEDIUM,19.0,True,Mercedes,0 days 02:33:00.206000,2023-07-23 14:34:02.234,1,7.0,False,,False,True,82.954,C4,2023,83.723,29.3,33.0,988.0,False,46.0,282.0,1.1,16.7,-0.7690000000000055,4.064398806354275e-09,9.553160535512378e-22,0.8860339595928711,0.9646402934831231,2.0987910487930498e-16,0.012829603563674354
