track,family,approach,model,script,status,return_code,duration_seconds,rmse_mean,mae_mean,r2_mean,rmse_holdout,mae_holdout,r2_holdout,error_message,log_path
Bahrain Grand Prix,linear_regression,cv,model_lr_cv,model_lr_cv.py,success,0,3.67,0.2819,0.2186,0.9676,0.2897,0.2257,0.9393,,c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\linear_regression\cv\runs\20260413_201304\logs\bahrain_grand_prix__model_lr_cv.log
Hungarian Grand Prix,linear_regression,cv,model_lr_cv,model_lr_cv.py,success,0,3.98,0.3238,0.2459,0.9508,0.3832,0.2959,0.9339,,c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\linear_regression\cv\runs\20260413_201304\logs\hungarian_grand_prix__model_lr_cv.log
Italian Grand Prix,linear_regression,cv,model_lr_cv,model_lr_cv.py,success,0,3.83,0.2684,0.2087,0.9723,0.2972,0.2346,0.9762,,c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\linear_regression\cv\runs\20260413_201304\logs\italian_grand_prix__model_lr_cv.log
Saudi Arabian Grand Prix,linear_regression,cv,model_lr_cv,model_lr_cv.py,success,0,3.74,0.3395,0.264,0.9282,0.3376,0.2601,0.8684,,c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\linear_regression\cv\runs\20260413_201304\logs\saudi_arabian_grand_prix__model_lr_cv.log
United States Grand Prix,linear_regression,cv,model_lr_cv,model_lr_cv.py,success,0,3.23,0.3429,0.2694,0.9578,0.3686,0.2826,0.9468,,c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\linear_regression\cv\runs\20260413_201304\logs\united_states_grand_prix__model_lr_cv.log
