Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 02:25:58.394000,HAM,44,0 days 00:01:37.770000,50.0,3.0,,,0 days 00:00:30.824000,0 days 00:00:42.711000,0 days 00:00:24.235000,0 days 02:24:51.488000,0 days 02:25:34.199000,0 days 02:25:58.434000,239.0,261.0,285.0,321.0,False,HARD,20.0,True,Mercedes,0 days 02:24:20.624000,2023-03-05 16:25:22.473,1,5.0,True,TRACK LIMITS AT TURN 8 LAP 50 ,False,True,97.77,C1,2023,97.954,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,-0.1839999999999975,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:01.318000,LEC,16,0 days 00:01:35.480000,53.0,3.0,,,0 days 00:00:30.777000,0 days 00:00:41.227000,0 days 00:00:23.476000,0 days 02:24:56.615000,0 days 02:25:37.842000,0 days 02:26:01.318000,239.0,265.0,281.0,299.0,False,HARD,19.0,True,Ferrari,0 days 02:24:25.838000,2024-03-02 16:28:08.269,1,4.0,False,,False,True,95.48,C1,2024,95.394,17.6,51.0,1017.5,False,21.9,254.0,0.4,4.299999999999997,0.08599999999999852,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9960079893439915,0.0,1.0
0 days 02:26:02.898000,STR,18,0 days 00:01:37.388000,50.0,3.0,,,0 days 00:00:31.030000,0 days 00:00:42.331000,0 days 00:00:24.027000,0 days 02:24:56.597000,0 days 02:25:38.928000,0 days 02:26:02.955000,233.0,257.0,280.0,301.0,False,HARD,20.0,True,Aston Martin,0 days 02:24:25.510000,2023-03-05 16:25:27.359,1,6.0,False,,False,True,97.388,C1,2023,97.551,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,-0.1629999999999967,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:05.051000,RUS,63,0 days 00:01:37.383000,50.0,3.0,,,0 days 00:00:31.014000,0 days 00:00:42.413000,0 days 00:00:23.956000,0 days 02:24:58.696000,0 days 02:25:41.109000,0 days 02:26:05.065000,237.0,254.0,284.0,308.0,False,HARD,19.0,True,Mercedes,0 days 02:24:27.668000,2023-03-05 16:25:29.517,1,7.0,False,,False,True,97.383,C1,2023,97.718,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,-0.33500000000000796,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:06.781000,RUS,63,0 days 00:01:35.979000,53.0,3.0,,,0 days 00:00:30.752000,0 days 00:00:41.740000,0 days 00:00:23.487000,0 days 02:25:01.579000,0 days 02:25:43.319000,0 days 02:26:06.806000,237.0,263.0,283.0,302.0,False,HARD,22.0,True,Mercedes,0 days 02:24:30.802000,2024-03-02 16:28:13.233,1,5.0,False,,False,True,95.979,C1,2024,96.186,17.6,51.0,1017.5,False,21.9,254.0,0.4,4.299999999999997,-0.20700000000000784,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9960079893439915,0.0,1.0
0 days 02:26:08.690000,NOR,4,0 days 00:01:35.782000,53.0,3.0,,,0 days 00:00:30.666000,0 days 00:00:41.392000,0 days 00:00:23.724000,0 days 02:25:03.597000,0 days 02:25:44.989000,0 days 02:26:08.713000,237.0,268.0,282.0,303.0,False,HARD,20.0,True,McLaren,0 days 02:24:32.908000,2024-03-02 16:28:15.339,1,6.0,False,,False,True,95.782,C1,2024,95.922,17.6,51.0,1017.5,False,21.9,254.0,0.4,4.299999999999997,-0.14000000000000057,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9960079893439915,0.0,1.0
0 days 02:26:11.820000,HAM,44,0 days 00:01:35.550000,53.0,3.0,,,0 days 00:00:30.643000,0 days 00:00:41.252000,0 days 00:00:23.655000,0 days 02:25:06.948000,0 days 02:25:48.200000,0 days 02:26:11.855000,236.0,267.0,282.0,298.0,False,HARD,20.0,True,Mercedes,0 days 02:24:36.270000,2024-03-02 16:28:18.701,1,7.0,False,,False,True,95.55,C1,2024,95.479,17.6,51.0,1017.5,False,21.9,254.0,0.4,4.299999999999997,0.07099999999999795,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9960079893439915,0.0,1.0
0 days 02:26:16.929000,PIA,81,0 days 00:01:35.739000,53.0,3.0,,,0 days 00:00:30.770000,0 days 00:00:41.299000,0 days 00:00:23.670000,0 days 02:25:11.992000,0 days 02:25:53.291000,0 days 02:26:16.961000,236.0,271.0,281.0,302.0,False,HARD,19.0,True,McLaren,0 days 02:24:41.190000,2024-03-02 16:28:23.621,1,8.0,False,,False,True,95.739,C1,2024,96.024,17.6,51.0,1017.5,False,21.9,330.0,0.0,4.299999999999997,-0.2849999999999966,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9646402934831231,0.0,1.0
0 days 02:26:20.535000,BOT,77,0 days 00:01:37.710000,50.0,3.0,,,0 days 00:00:31.491000,0 days 00:00:42.241000,0 days 00:00:23.978000,0 days 02:25:14.360000,0 days 02:25:56.601000,0 days 02:26:20.579000,232.0,246.0,278.0,291.0,False,HARD,21.0,True,Kick Sauber,0 days 02:24:42.825000,2023-03-05 16:25:44.674,1,8.0,False,,False,True,97.71,C1,2023,97.85,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,-0.14000000000000057,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:25.487000,PIA,81,0 days 00:01:36.229000,54.0,3.0,,,0 days 00:00:30.936000,0 days 00:00:41.680000,0 days 00:00:23.613000,0 days 02:25:20.249000,0 days 02:26:01.929000,0 days 02:26:25.542000,236.0,254.0,282.0,301.0,False,MEDIUM,22.0,True,McLaren,0 days 02:24:49.258000,2025-04-13 16:33:03.525,1,1.0,False,,False,True,96.229,C2,2025,96.333,26.9,44.0,1008.4,False,30.5,33.0,1.9,3.6000000000000014,-0.1039999999999992,0.7232502423798423,1.0,0.0007281525390894604,0.8445089033860343,2.8111852987890343e-13,0.952181129698505
0 days 02:26:26.094000,GAS,10,0 days 00:01:36.551000,50.0,4.0,,,0 days 00:00:30.972000,0 days 00:00:41.874000,0 days 00:00:23.705000,0 days 02:25:20.524000,0 days 02:26:02.398000,0 days 02:26:26.103000,233.0,254.0,281.0,297.0,False,SOFT,10.0,True,Alpine,0 days 02:24:49.543000,2023-03-05 16:25:51.392,1,9.0,False,,False,True,96.551,C3,2023,96.803,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,-0.25199999999999534,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:36.894000,BOT,77,0 days 00:01:36.949000,52.0,3.0,,,0 days 00:00:30.997000,0 days 00:00:41.980000,0 days 00:00:23.972000,0 days 02:25:30.958000,0 days 02:26:12.938000,0 days 02:26:36.910000,237.0,259.0,280.0,298.0,False,HARD,22.0,True,Kick Sauber,0 days 02:24:59.945000,2024-03-02 16:28:42.376,1,19.0,False,,False,True,96.949,C1,2024,96.819,17.6,51.0,1017.5,False,21.9,330.0,0.0,4.299999999999997,0.12999999999999545,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9646402934831231,0.0,1.0
0 days 02:26:37.640000,NOR,4,0 days 00:01:37.127000,54.0,3.0,,,0 days 00:00:31.090000,0 days 00:00:42.040000,0 days 00:00:23.997000,0 days 02:25:31.643000,0 days 02:26:13.683000,0 days 02:26:37.680000,235.0,265.0,292.0,300.0,False,MEDIUM,22.0,True,McLaren,0 days 02:25:00.513000,2025-04-13 16:33:14.780,1,3.0,False,,False,True,97.127,C2,2025,96.737,26.9,44.0,1008.4,False,30.5,33.0,1.9,3.6000000000000014,0.39000000000000057,0.7232502423798423,1.0,0.0007281525390894604,0.8445089033860343,2.8111852987890343e-13,0.952181129698505
0 days 02:26:38.148000,ALB,23,0 days 00:01:37.695000,50.0,4.0,,,0 days 00:00:31.087000,0 days 00:00:42.703000,0 days 00:00:23.905000,0 days 02:25:31.597000,0 days 02:26:14.300000,0 days 02:26:38.205000,236.0,247.0,287.0,311.0,False,SOFT,10.0,False,Williams,0 days 02:25:00.453000,2023-03-05 16:26:02.302,1,10.0,False,,False,True,97.695,C3,2023,97.609,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,0.08599999999999852,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:38.733000,ALO,14,0 days 00:01:35.249000,53.0,3.0,,,0 days 00:00:30.498000,0 days 00:00:41.106000,0 days 00:00:23.645000,0 days 02:25:34.006000,0 days 02:26:15.112000,0 days 02:26:38.757000,237.0,264.0,282.0,296.0,False,HARD,12.0,True,Aston Martin,0 days 02:25:03.484000,2024-03-02 16:28:45.915,1,9.0,False,,False,True,95.249,C1,2024,94.862,17.6,51.0,1017.5,False,21.9,330.0,0.0,4.299999999999997,0.38700000000000045,0.009813463594319505,0.007446583070924338,0.9646402934831204,0.9646402934831231,0.0,1.0
0 days 02:26:39.505000,TSU,22,0 days 00:01:37.624000,50.0,4.0,,,0 days 00:00:31.076000,0 days 00:00:42.378000,0 days 00:00:24.170000,0 days 02:25:32.985000,0 days 02:26:15.363000,0 days 02:26:39.533000,233.0,261.0,282.0,306.0,False,SOFT,13.0,False,Racing Bulls,0 days 02:25:01.881000,2023-03-05 16:26:03.730,1,11.0,False,,False,True,97.624,C3,2023,97.528,26.3,21.0,1017.2,False,29.0,339.0,0.0,2.6999999999999993,0.09599999999998943,0.9910403787728836,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7741419687922481
0 days 02:26:40.728000,LEC,16,0 days 00:01:37.794000,54.0,3.0,,,0 days 00:00:31.127000,0 days 00:00:42.614000,0 days 00:00:24.053000,0 days 02:25:34.100000,0 days 02:26:16.714000,0 days 02:26:40.767000,233.0,259.0,285.0,302.0,False,HARD,22.0,True,Ferrari,0 days 02:25:02.934000,2025-04-13 16:33:17.201,1,4.0,False,,False,True,97.794,C1,2025,97.583,26.9,44.0,1008.4,False,30.5,33.0,1.9,3.6000000000000014,0.21099999999999852,0.7232502423798423,1.0,0.0007281525390894604,0.8445089033860343,2.8111852987890343e-13,0.952181129698505
0 days 02:26:46.287000,SAR,2,0 days 00:01:37.290000,50.0,4.0,,,0 days 00:00:30.955000,0 days 00:00:42.418000,0 days 00:00:23.917000,0 days 02:25:39.956000,0 days 02:26:22.374000,0 days 02:26:46.291000,237.0,256.0,284.0,308.0,False,SOFT,10.0,True,Williams,0 days 02:25:08.997000,2023-03-05 16:26:10.846,1,12.0,False,,False,True,97.29,C3,2023,97.225,26.3,21.0,1017.2,False,28.9,246.0,0.0,2.599999999999998,0.06500000000001194,0.9960079893439915,1.0612602731828003e-23,0.9910403787728796,0.9646402934831231,0.0,0.7490122054026687
